"Section"	"section_id"	"req_id"	"Test Availability"	"Annotation?"	"New Req for S?"	"New CTS for S?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"CDD Bug Id"	"Area"	"Shortened"	"full_key"
"2.2.7.1  . Media"	"5.1"	"H-1-8"	""	"True"	""	""	"android.mediapc.cts.EncoderInitializationLatencyTest"	"testInitializationLatency()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-8"
"2.2.7.1  . Media"	"5.1"	"H-1-4"	""	"True"	""	""	"android.mediapc.cts.MultiEncoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-4"
"2.2.7.1  . Media"	"5.3"	"H-1-1"	""	"True"	""	""	"android.mediapc.cts.FrameDropTest"	"testDecodeToSurface()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.3/H-1-1"
"2.2.7.1  . Media"	"5.1"	"H-1-1"	""	"True"	""	""	"android.mediapc.cts.MultiDecoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-1"
"2.2.7.1  . Media"	"5.1"	"H-1-3"	""	"True"	""	""	"android.mediapc.cts.MultiEncoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-3"
"2.2.7.1  . Media"	"5.1"	"H-1-2"	""	"True"	""	""	"android.mediapc.cts.MultiDecoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-2"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-12"	""	"True"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"validateEncryptionModes"	""	"Found annotation reference in comments of .cpp files"	""	""	""	""	"9.9.3/C-1-12"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-6"	""	"True"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"validateEncryptionModes"	""	"Found annotation reference in comments of .cpp files"	""	""	""	""	"9.9.3/C-1-6"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-14"	""	"True"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"FileBasedEncryptionPolicyTest_allowedPolicy"	""	"Found annotation reference in comments of .cpp files"	""	""	""	""	"9.9.3/C-1-14"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-15"	"Test Available, incomplete."	"True"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"validateEncryptionFlags"	""	"Found annotation reference in comments of .cpp files"	""	""	""	""	"9.9.3/C-1-15"
"2.2.1  . Hardware"	"7.1.1.1"	"H-0-2"	""	"True"	""	""	"android.mediapc.cts.PerformanceClassTest"	"testMinimumMemory()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"7.1.1.1/H-0-2"
"2.2.7.3  . Hardware"	"7.1.1.3"	"H-1-1"	""	"True"	""	""	"android.mediapc.cts.PerformanceClassTest"	"testMinimumMemory()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"7.1.1.3/H-1-1"
"2.2.7.3  . Hardware"	"7.1.1.3"	"H-2-1"	""	"True"	""	""	"android.mediapc.cts.PerformanceClassTest"	"testMinimumMemory()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"7.1.1.3/H-2-1"
"2.5.1  . Hardware"	"7.1.4.1"	"A-0-1"	""	""	""	""	"android.dpi.cts.ConfigurationTests"	"testAutomotiveMinimumScreenSize"	"CtsDpiTestCases"	"section id changed from 7.1.1.1 in CDD-11"	""	""	""	""	"7.1.4.1/A-0-1"
"2.5.1  . Hardware"	"7.1.4.1"	"A-0-2"	""	""	""	""	"cts/tests/tests/graphics/jni/VulkanPreTransformTestHelpers.cpp"	""	""	"section id changed from 7.1.1.1 in CDD-11"	""	""	""	""	"7.1.4.1/A-0-2"
"2.5.1  . Hardware"	"7.1.4.1"	"A-0-3"	"Test missing"	""	""	""	""	""	""	""	""	""	""	""	"7.1.4.1/A-0-3"
"7.3.2  . Magnetometer"	"7.3.2"	"C-1-10"	""	""	""	""	"android.hardware.cts.SensorSupportTest"	"testSupportsMagneticFieldUncalibrated"	"CtsSensorTestCases"	""	""	""	""	""	"7.3.2/C-1-10"
"7.3.8  . Proximity Sensor"	"7.3.8"	"C-1-4"	"Test Incomplete"	""	""	""	"android.hardware.cts.SensorParameterRangeTest"	"testProximityFifoLength"	"CtsSensorTestCases"	"No test for the proximity sensors range and resolution found."	"tbd"	""	""	""	"7.3.8/C-1-4"
"7.3.8  . Proximity Sensor"	"7.3.8"	"C-1-3"	"Test Incomplete"	""	""	""	"android.hardware.cts.SensorParameterRangeTest"	"testProximityFifoLength"	"CtsSensorTestCases"	"No test for the proximity sensors range and resolution found."	"tbd"	""	""	""	"7.3.8/C-1-3"
"7.4.1  . Telephony"	"7.4.1"	"C-5-2"	"Test Available"	""	""	""	"android.telephony.ims.cts.SipDelegateManagerTest"	"connectTestImsServiceWithSipTransportAndConfig"	"CtsTelephonyTestCases"	""	""	""	""	""	"7.4.1/C-5-2"
"7.4.1  . Telephony"	"7.4.1"	"C-5-1"	"Test Available"	""	""	""	"android.telephony.ims.cts.ImsServiceTest"	"testCarrierImsServiceBindRcsChangeToMmtel"	"CtsTelephonyTestCases"	""	""	""	""	""	"7.4.1/C-5-1"
"7.4.2  . IEEE 802.11"	"7.4.2"	"C-1-10"	"Test Available"	""	""	""	"android.net.wifi.cts.ConnectedNetworkScorerTest"	"isNotNull"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2/C-1-10"
"7.4.2  . IEEE 802.11"	"7.4.2"	"C-1-9"	"Test Available"	""	""	""	"android.net.wifi.cts.ConnectedNetworkScorerTest"	"testWifiUsabilityStatsEntry"	"CtsWifiTestCases"	"Hard to tell whether randomness is being tested. Example of lack of certainty."	"tbd"	""	""	""	"7.4.2/C-1-9"
"7.4.2  . IEEE 802.11"	"7.4.2"	"C-1-7"	"Test Available"	""	""	""	"android.net.wifi.cts.WifiManagerTest"	"testIsApMacRandomizationSupported"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2/C-1-7"
"7.4.2  . IEEE 802.11"	"7.4.2"	"C-1-8"	"Test Available"	""	""	""	"android.net.wifi.cts.WifiManagerTest"	"testIsConnectedMacRandomizationSupported"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2/C-1-8"
"7.4.2.4  . Wi"	"7.4.2.4"	"C-3-1"	"Test Enabled"	""	""	""	"android.net.wifi.cts.WifiManagerTest"	"testAllowAutojoinPasspoint"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2.4/C-3-1"
"7.4.2.4  . Wi"	"7.4.2.4"	"C-1-4"	"Test Available"	""	""	""	"android.net.wifi.cts.WifiManagerTest"	"testPasspointCapability"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2.4/C-1-4"
"7.4.2.4  . Wi"	"7.4.2.4"	"C-1-5"	"Test Available"	""	""	""	"android.net.wifi.cts.WifiManagerTest"	"testPasspointCapability"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2.4/C-1-5"
"7.4.2.4  . Wi"	"7.4.2.4"	"C-1-6"	"Test Available"	""	""	""	"android.net.wifi.passpoint.cts.PasspointConfigurationTest"	"testSetGetDecoratedIdentityPrefix"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2.4/C-1-6"
"7.4.2.4  . Wi"	"7.4.2.4"	"C-1-7"	"Test Available"	""	""	""	"android.net.wifi.cts.WifiManagerTest"	"ProvisioningCallback"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2.4/C-1-7"
"7.4.2.4  . Wi"	"7.4.2.4"	"C-1-8"	"Test Available"	""	""	""	"android.net.wifi.cts.WifiManagerTest"	"testAddOrUpdatePasspointConfiguration"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2.4/C-1-8"
"7.4.2.4  . Wi"	"7.4.2.4"	"C-1-9"	"Test Available"	""	""	""	"android.net.wifi.passpoint.cts.PasspointConfigurationTest"	"testSetGetDecoratedIdentityPrefix"	"CtsWifiTestCases"	""	""	""	""	""	"7.4.2.4/C-1-9"
"7.4.2.5  . Wi"	"7.4.2.5"	"C-1-4"	"Manually testable"	""	""	""	""	""	""	"Only manually testable requires physical distance from wifi source."	""	""	""	""	"7.4.2.5/C-1-4"
"2.2.7.2  . Camera"	"7.5"	"H-1-7"	""	"section"	""	""	"android.camera.cts.api31test.SPerfClassTest"	"testSPerfClassJpegSizes"	"CtsCameraApi31TestCases"	""	""	""	""	""	"7.5/H-1-7"
"2.2.7.2  . Camera"	"7.5"	"H-1-6"	""	"section"	""	""	"android.hardware.camera2.cts.PerformanceTest"	"testCameraLaunch"	"CtsCameraTestCases"	""	""	""	""	""	"7.5/H-1-6"
"2.2.7.2  . Camera"	"7.5"	"H-1-5"	"Test Available"	"section"	""	""	"android.hardware.camera2.cts.PerformanceTest"	"testReprocessingLatency"	"CtsCameraTestCases"	""	""	""	""	""	"7.5/H-1-5"
"2.2.7.2  . Camera"	"7.5"	"H-1-4"	"Test Available"	"section"	""	""	"android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest"	"testCameraPerfClassCharacteristics"	"CtsCameraTestCases"	""	""	""	""	""	"7.5/H-1-4"
