"Section"	"section_id"	"req_id"	"full_key"	"manual_search_terms"	"requirement"	"Test Availability"	"class_def"	"method"	"module"	"matched_terms"	"methods_string"	"search_terms"	"file_name"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"Test Level"
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"dot.junit.opcodes.move_exception.Test_move_exception"	"testN1"	""	"1: functionality"	"([1:/dot/junit/opcodes/move_exception/Test_move_exception.java]:[functionality]:[1]:method_text:[ticException.class);    }        /**     * @title tests move-exception functionality     */   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/move_exception/Test_move_exception.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.ManagedProfileProvisioningSingleAdminTest"	"removeTestUsers"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/ManagedProfileProvisioningSingleAdminTest.java]:[managed_users]:[2]:method_text:[getDevice().uninstallPackage(SINGLE_ADMIN_PKG);        super.tearDown();    }    @FlakyTest   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/ManagedProfileProvisioningSingleAdminTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testIsManagedProfileProvisioningAllowed_deviceOwnerIsSet"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([1:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[managed_users]:[1]:method_text:[""testIsProvisioningNotAllowedForManagedProfileAction"");    }    @FlakyTest(bugId = 137096267)   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testSetUserControlDisabledPackages_multiUser_reboot_verifyPackageNotStopped"	"CtsDevicePolicyManagerTestCases"	"1: role"	"([1:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[role]:[1]:method_text:[bledPackagesTest"",                    ""testForceStopWithUserControlDisabled"");        }    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.LauncherAppsProfileTest"	"removeTestUsers"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/LauncherAppsProfileTest.java]:[managed_users]:[2]:method_text:[().uninstallPackage(LAUNCHER_TESTS_HAS_LAUNCHER_ACTIVITY_APK);        super.tearDown();    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/LauncherAppsProfileTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.OrgOwnedProfileOwnerTest"	"removeTestUsers"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/OrgOwnedProfileOwnerTest.java]:[managed_users]:[2]:method_text:[                           mUserId, DEVICE_ADMIN_PKG + ""/"" + ADMIN_RECEIVER_TEST_CLASS));    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/OrgOwnedProfileOwnerTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.OrgOwnedProfileOwnerTest"	"testPersonalAppsSuspensionSms"	"CtsDevicePolicyManagerTestCases"	"1: role"	"([10:/com/android/cts/devicepolicy/OrgOwnedProfileOwnerTest.java]:[role]:[10]:method_text:[          ""cmd role remove-role-holder --user %d android.app.role.SMS %s"", userId, app));    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/OrgOwnedProfileOwnerTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.MixedManagedProfileOwnerTestApi25"	"removeTestUsers"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/MixedManagedProfileOwnerTestApi25.java]:[managed_users]:[2]:method_text:[       removeUser(mUserId);        super.tearDown();    }    @Override    @PermissionsTest   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/MixedManagedProfileOwnerTestApi25.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.SeparateProfileChallengeTest"	"removeTestUsers"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/SeparateProfileChallengeTest.java]:[managed_users]:[2]:method_text:[PARATE_PROFILE_PKG);        setHiddenApiPolicyPreviousOrOff();        super.tearDown();    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/SeparateProfileChallengeTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.UserRestrictionsTest"	"isHeadlessSystemUserMode"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([1:/com/android/cts/devicepolicy/UserRestrictionsTest.java]:[managed_users]:[1]:method_text:[          throws DeviceNotAvailableException {        runTests(className, null, userId);    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/UserRestrictionsTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.UserRestrictionsTest"	"testUserRestrictions_secondaryProfileOwnerOnly"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([1:/com/android/cts/devicepolicy/UserRestrictionsTest.java]:[managed_users]:[1]:method_text:[hecks restrictions for managed profile.    @RequiresAdditionalFeatures({FEATURE_MANAGED_USERS})   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/UserRestrictionsTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.UserRestrictionsTest"	"testUserRestrictions_profileGlobalRestrictionsAsDo"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([1:/com/android/cts/devicepolicy/UserRestrictionsTest.java]:[managed_users]:[1]:method_text:[should     * affect all users.     */    @RequiresAdditionalFeatures({FEATURE_MANAGED_USERS})   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/UserRestrictionsTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.QuietModeHostsideTest"	"wakeupAndDismissKeyguard"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/QuietModeHostsideTest.java]:[managed_users]:[2]:method_text:[vice().uninstallPackage(TEST_LAUNCHER_PACKAGE);        super.tearDown();    }    @LargeTest   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/QuietModeHostsideTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.CrossProfileAppsPermissionHostSideTest"	"assumeTestEnabled"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/CrossProfileAppsPermissionHostSideTest.java]:[managed_users]:[2]:method_text:[  @Before    @Override    public void setUp() throws Exception {        super.setUp();    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/CrossProfileAppsPermissionHostSideTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.MixedManagedProfileOwnerTest"	"removeTestUsers"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/MixedManagedProfileOwnerTest.java]:[managed_users]:[2]:method_text:[s in the primary user when the policy     * is set on the profile owner.     */    @LargeTest   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/MixedManagedProfileOwnerTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.DeviceAndProfileOwnerTest"	"testApplicationRestrictions"	"CtsDevicePolicyManagerTestCases"	"1: functionality"	"([1:/com/android/cts/devicepolicy/DeviceAndProfileOwnerTest.java]:[functionality]:[1]:method_text:[Delegations} to test that     *    the scope can only be delegatd to one app at a time.     */   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceAndProfileOwnerTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.DeviceAndProfileOwnerTest"	"testDelegatedCertInstaller"	"CtsDevicePolicyManagerTestCases"	"1: duplicates"	"([1:/com/android/cts/devicepolicy/DeviceAndProfileOwnerTest.java]:[duplicates]:[1]:method_text:[aller app is called directly rather than via intents from    // the DelegatedCertinstallerTest.   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceAndProfileOwnerTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.devicepolicy.MixedManagedProfileOwnerTestApi30"	"removeTestUsers"	"CtsDevicePolicyManagerTestCases"	"1: managed_users"	"([2:/com/android/cts/devicepolicy/MixedManagedProfileOwnerTestApi30.java]:[managed_users]:[2]:method_text:[oid tearDown() throws Exception {        removeUser(mUserId);        super.tearDown();    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/MixedManagedProfileOwnerTestApi30.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.deviceowner.UserControlDisabledPackagesTest"	"testForceStopWithUserControlEnabled"	""	"1: role"	"([1:/com/android/cts/deviceowner/UserControlDisabledPackagesTest.java]:[role]:[1]:method_text:[getIdentifier())                .that(isPackageStopped(SIMPLE_APP_PKG)).isEqualTo(stopped);    }}])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/app/DeviceOwner/src/com/android/cts/deviceowner/UserControlDisabledPackagesTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.deviceowner.proxy.PacProxyTest"	"testProxyIsUp"	""	"1: functionality"	"([1:/com/android/cts/deviceowner/proxy/PacProxyTest.java]:[functionality]:[1]:method_text:[ * the proxy and pass data back and forth.  See PassthroughTestHelper for   * more details.   */ ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/app/DeviceOwner/src/com/android/cts/deviceowner/proxy/PacProxyTest.java"	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"managed_users role"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform"	""	"com.android.cts.deviceandprofileowner.KeyManagementTest"	"testUniqueDeviceAttestationUsingDifferentAttestationCert"	""	"1: functionality"	"([1:/com/android/cts/deviceandprofileowner/KeyManagementTest.java]:[functionality]:[1]:method_text:[s);            mDevicePolicyManager.removeKeyPair(getWho(), dev_unique_alias);        }    }   ])"	"9.1/C-0-15 9.1 re_tag:(?<!/)C\-0\-15 functionality roles superset managed_users duplicates role"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/app/DeviceAndProfileOwner/src/com/android/cts/deviceandprofileowner/KeyManagementTest.java"	""	""	""
