"Section"	"section_id"	"req_id"	"full_key"	"manual_search_terms"	"requirement"	"Test Availability"	"class_def"	"method"	"module"	"matched_terms"	"methods_string"	"search_terms"	"file_name"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"Test Level"
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testE1"	""	"1: instance."	"([1:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[1]:method_text:[);    }    /**     * @constraint A21     * @title  attempt to instantiate interface     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testE4"	""	"1: instance."	"([2:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[2]:method_text:[  /**     * @constraint A21     * @title  attempt to instantiate abstract     * class     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testE5"	""	"1: instance."	"([2:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[2]:method_text:[onError.class);    }    /**     * @constraint A18     * @title  constant pool index     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testVFE1"	""	"1: instance."	"([1:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[1]:method_text:[    /**     *     * @constraint A21     * @title  attempt to create array using new     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testVFE2"	""	"1: instance."	"([1:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[1]:method_text:[t B6     * @title Attempt to access uninitialized class (before <init> is     * called     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testVFE3"	""	"1: instance."	"([1:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[1]:method_text:[ifyError.class);    }    /**     * @constraint A23     * @title number of registers     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testVFE4"	""	"1: instance."	"([1:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[1]:method_text:[     * @constraint n/a     * @title Attempt to instantiate array of inaccessible class.     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testVFE5"	""	"1: instance."	"([2:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[2]:method_text:[     * @constraint n/a     * @title Attempt to instantiate array of non-existent class.     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testVFE6"	""	"1: instance."	"([1:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[1]:method_text:[ the same new-instance  instruction is again executed before the instance is initialized     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testVFE7"	""	"1: instance."	"([1:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[1]:method_text:[ the same new-instance  instruction is again executed before the instance is initialized     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.new_instance.Test_new_instance"	"testVFE8"	""	"1: instance."	"([1:/dot/junit/opcodes/new_instance/Test_new_instance.java]:[instance.]:[1]:method_text:[8() {        load(""dot.junit.opcodes.new_instance.d.T_new_instance_12"", VerifyError.class);    }}])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/new_instance/Test_new_instance.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"com.google.android.cts.settings.PrivacyDeviceOwnerTest"	"isHeadlessSystemUserMode"	"CtsSettingsHostTestCases"	"1: user"	"([13:/com/google/android/cts/settings/PrivacyDeviceOwnerTest.java]:[user]:[13]:method_text:[    super.tearDown();    }    /** The case: app is the device owner, has work policy info. */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/hostsidetests/settings/src/com/google/android/cts/settings/PrivacyDeviceOwnerTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"com.google.android.cts.settings.PrivacyDeviceOwnerTest"	"testNonDeviceOwnerWithoutInfo"	"CtsSettingsHostTestCases"	"1: user"	"([28:/com/google/android/cts/settings/PrivacyDeviceOwnerTest.java]:[user]:[28]:method_text:[prop ro.fw.mu.headless_system_user"").trim();        return ""true"".equalsIgnoreCase(result);    }}])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/hostsidetests/settings/src/com/google/android/cts/settings/PrivacyDeviceOwnerTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"com.google.android.cts.deviceowner.DeviceOwnerTest"	"isTrue"	""	"1: user"	"([2:/com/google/android/cts/deviceowner/DeviceOwnerTest.java]:[user]:[2]:method_text:[evice owner and has work policy info, then we should have a Privacy     * entry for it.     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/hostsidetests/settings/app/DeviceOwnerApp/src/com/google/android/cts/deviceowner/DeviceOwnerTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"android.content.pm.cts.shortcut.backup.launcher3.ShortcutManagerPreBackupTest"	"testPreBackup"	""	"1: user"	"([3:/android/content/pm/cts/shortcut/backup/launcher3/ShortcutManagerPreBackupTest.java]:[user]:[3]:method_text:[ps().pinShortcuts(PUBLISHER3_PKG, list(""s1"", ""s3"", ""ms1""),                getUserHandle());    }}])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/backup/launcher3/src/android/content/pm/cts/shortcut/backup/launcher3/ShortcutManagerPreBackupTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"android.content.pm.cts.shortcut.backup.launcher2.ShortcutManagerPreBackupTest"	"testPreBackup"	""	"1: user"	"([3:/android/content/pm/cts/shortcut/backup/launcher2/ShortcutManagerPreBackupTest.java]:[user]:[3]:method_text:[nShortcuts(PUBLISHER3_PKG, list(""s2"", ""s3"", ""ms1"", ""ms2""),                getUserHandle());    }}])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/backup/launcher2/src/android/content/pm/cts/shortcut/backup/launcher2/ShortcutManagerPreBackupTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"android.content.pm.cts.shortcut.backup.launcher4.ShortcutManagerPreBackupTest"	"testPreBackup"	""	"1: user"	"([1:/android/content/pm/cts/shortcut/backup/launcher4/ShortcutManagerPreBackupTest.java]:[user]:[1]:method_text:[nShortcuts(PUBLISHER4_PKG, list(""s1"", ""s2"", ""ms1"", ""ms2""),                getUserHandle());    }}])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/backup/launcher4old/src/android/content/pm/cts/shortcut/backup/launcher4/ShortcutManagerPreBackupTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"android.content.pm.cts.shortcut.backup.launcher1.ShortcutManagerPreBackupTest"	"testPreBackup"	""	"1: user"	"([3:/android/content/pm/cts/shortcut/backup/launcher1/ShortcutManagerPreBackupTest.java]:[user]:[3]:method_text:[nShortcuts(PUBLISHER3_PKG, list(""s1"", ""s2"", ""ms1"", ""ms2""),                getUserHandle());    }}])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/backup/launcher1/src/android/content/pm/cts/shortcut/backup/launcher1/ShortcutManagerPreBackupTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerManagedUserTest"	"test01_managedProfileNotStarted"	""	"1: user"	"([5:/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java]:[user]:[5]:method_text:[ e) {            assertTrue(e.getMessage().contains(""locked or not running""));        }    }   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java"	""	""	""
