"Section"	"section_id"	"req_id"	"full_key"	"manual_search_terms"	"requirement"	"Test Availability"	"class_def"	"method"	"module"	"matched_terms"	"methods_string"	"search_terms"	"file_name"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"Test Level"
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerManagedUserTest"	"test01_managedProfileNotStarted"	""	"2: app user"	"([5:/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java]:[user]:[5]:method_text:[ e) {            assertTrue(e.getMessage().contains(""locked or not running""));        }    }   ])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerManagedUserTest"	"test04_getAndLaunch_primary"	""	"2: app user"	"([14:/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java]:[user]:[14]:method_text:[r);    }    @Suppress // Having a launcher on managed profile is not supported, so don't run.   ])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerManagedUserTest"	"test05_getAndLaunch_managed"	""	"2: app user"	"([22:/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java]:[user]:[22]:method_text:[           return user;        }        fail(""Other user not found"");        return null;    }}])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerManagedUserTest"	"test02_createShortuctsOnPrimaryUser"	""	"1: user"	"([1:/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java]:[user]:[1]:method_text:[                        new ComponentName(getContext(), MainActivity.class))).build())));    }   ])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerSecondaryUserTest"	"testCreateAndStart"	""	"2: app user"	"([6:/android/content/pm/cts/shortcut/multiuser/ShortcutManagerSecondaryUserTest.java]:[user]:[6]:method_text:[       retryUntil(() -> MainActivity.getLastCreateTime() >= now, ""Activity not started"");    }   ])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerSecondaryUserTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerSecondaryUserTest"	"testDifferentUserNotAccessible"	""	"2: app user"	"([10:/android/content/pm/cts/shortcut/multiuser/ShortcutManagerSecondaryUserTest.java]:[user]:[10]:method_text:[serHandle.class.getMethod(""of"", int.class);        return (UserHandle) of.invoke(null, 0);    }}])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerSecondaryUserTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"com.android.cts.multiuserstorageapp.MultiUserStorageTest"	"listFiles"	""	"3: isolated app user"	"([5:/com/android/cts/multiuserstorageapp/MultiUserStorageTest.java]:[user]:[5]:method_text:[     Log.d(TAG, ""Wiping "" + file);                file.delete();            }        }    }   ])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/test-apps/MultiUserStorageApp/src/com/android/cts/multiuserstorageapp/MultiUserStorageTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"com.android.cts.multiuserstorageapp.MultiUserStorageTest"	"testCleanIsolatedStorage"	CtsMultiUserStorageApp	"1: isolated"	"([1:/com/android/cts/multiuserstorageapp/MultiUserStorageTest.java]:[isolated]:[1]:method_text:[ge() throws Exception {        wipeTestFiles(Environment.getExternalStorageDirectory());    }   ])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/test-apps/MultiUserStorageApp/src/com/android/cts/multiuserstorageapp/MultiUserStorageTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"com.android.cts.multiuserstorageapp.MultiUserStorageTest"	"testWriteIsolatedStorage"	CtsMultiUserStorageApp	"1: isolated"	"([1:/com/android/cts/multiuserstorageapp/MultiUserStorageTest.java]:[isolated]:[1]:method_text:[torageState(path));            writeInt(new File(path, FILE_SINGLETON), uid);        }    }   ])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/test-apps/MultiUserStorageApp/src/com/android/cts/multiuserstorageapp/MultiUserStorageTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"clone"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	"com.android.cts.multiuserstorageapp.MultiUserStorageTest"	"testReadIsolatedStorage"	CtsMultiUserStorageApp	"2: isolated user"	"([1:/com/android/cts/multiuserstorageapp/MultiUserStorageTest.java]:[user]:[1]:method_text:[at "" + path, uid,                    readInt(new File(path, FILE_SINGLETON)));        }    }   ])"	"9.5/C-3-3 isolated account. parent 9.5 app re_tag:(?<!/)C\-3\-3 directories clone user data"	"/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/test-apps/MultiUserStorageApp/src/com/android/cts/multiuserstorageapp/MultiUserStorageTest.java"	""	""	""
