"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"184:592822) 7.3.10  . Biometric Sensors"	"7.3.10"	"C-6-1"	""	"android.hardware.biometrics.cts.BiometricPromptTest"	"test_setAllowedAuthenticators_withoutDeviceCredential"	"CtsHardwareTestCases"	""	"7.3.10/C-6-1"	"""C-6-1] MUST meet the requirements for Class 3 as defined in this section below. """	""	"Strong class_3 class3"	""	""	""	"Strong"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/hardware/src/android/hardware/biometrics/cts/BiometricPromptTest.java"	""	"public void test_setAllowedAuthenticators_withoutDeviceCredential() {         final BiometricPrompt.Builder promptBuilder = new BiometricPrompt.Builder(getContext())                 .setTitle(""Title"")                 .setNegativeButton(""Cancel"", mExecutor, (dialog, which) -> {                     // Do nothing.                 });         assertEquals(0, promptBuilder.build().getAllowedAuthenticators());          final int[] authenticatorCombinations = {                 Authenticators.BIOMETRIC_WEAK,                 Authenticators.BIOMETRIC_STRONG         };         for (final int authenticators : authenticatorCombinations) {             final BiometricPrompt prompt = promptBuilder                     .setAllowedAuthenticators(authenticators)                     .build();             assertEquals(authenticators, prompt.getAllowedAuthenticators());         }     }      @Presubmit"	""	""	""	""	""
"184:592822) 7.3.10  . Biometric Sensors"	"7.3.10"	"C-6-1"	""	"android.hardware.biometrics.cts.BiometricPromptTest"	"test_setAllowedAuthenticators_withDeviceCredential"	"CtsHardwareTestCases"	""	"7.3.10/C-6-1"	"""C-6-1] MUST meet the requirements for Class 3 as defined in this section below. """	""	"Strong class_3 class3"	""	""	""	"Strong"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/hardware/src/android/hardware/biometrics/cts/BiometricPromptTest.java"	""	"public void test_setAllowedAuthenticators_withDeviceCredential() {         final BiometricPrompt.Builder promptBuilder = new BiometricPrompt.Builder(getContext())                 .setTitle(""Title"");          final int[] authenticatorCombinations = {                 Authenticators.DEVICE_CREDENTIAL,                 Authenticators.BIOMETRIC_WEAK | Authenticators.DEVICE_CREDENTIAL,                 Authenticators.BIOMETRIC_STRONG | Authenticators.DEVICE_CREDENTIAL         };         for (final int authenticators : authenticatorCombinations) {             final BiometricPrompt prompt = promptBuilder                     .setAllowedAuthenticators(authenticators)                     .build();             assertEquals(authenticators, prompt.getAllowedAuthenticators());         }     } }"	""	""	""	""	""
