"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"151:495871) 7.1.1.1  . Screen Size and Shape"	"7.1.1.1"	"C-2-1"	""	"[('android.server.wm.MultiDisplayTestBase', 1)]"	"[('setUp', 2), ('getInstrumentation', 1), ('getTargetContext', 1)]"	"[('CtsWindowManagerDeviceTestCases', 1)]"	""	"7.1.1.1/C-2-1"	"""C-2-1] MUST implement the latest available stable version of the extensions API or the stable version of sidecar API to be used by Window Manager Jetpack library. If device implementations include an Android-compatible display(s) that is foldable, or includes a folding hinge between multiple display panels and if the hinge or fold crosses a fullscreen application window, they: """	"07010101.670201"	"display(s) sidecar"	"sidecar"	""	""	"[('display(s)', 1)]"	""	"[('[android.server.wm.MultiDisplayTestBase getDisplaysStates CtsWindowManagerDeviceTestCases]', 1)]"	""	"[('/home/gpoor/cts-source/cts/tests/framework/base/windowmanager/src/android/server/wm/MultiDisplayTestBase.java', 1)]"	"[('/android/server/wm/MultiDisplayTestBase.java', 2)]"	"[('([4:/android/server/wm/MultiDisplayTestBase.java]:[display(s)]:[4]:method_text:[            }             VirtualDisplayHelper.waitForDefaultDisplayState(wantOn);         }     } }])', 1)]"	""	""	""	""	""
"151:495871) 7.1.1.1  . Screen Size and Shape"	"7.1.1.1"	"H-1-1"	""	""	""	""	""	"7.1.1.1/H-1-1"	""">7.1.1.1/H-1-1]* MUST make the logical screen that is made available for third party applications be at least 2 inches on the short edge(s) and 2.7 inches on the long edge(s). Devices which launched on an API level earlier than that of this document are exempted from this requirement. If Handheld device implementations do not support software screen rotation, they: [<a href=""#7_1_display_and_graphics"""""	"07010101.720101"	"edge(s)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151:495871) 7.1.1.1  . Screen Size and Shape"	"7.1.1.1"	"H-2-1"	""	"[('android.content.res.cts.ConfigurationTest', 2), ('android.opengl.cts.OpenGlEsVersionTest', 2)]"	""	"[('CtsContentTestCases', 2), ('CtsOpenGLTestCases', 2)]"	""	"7.1.1.1/H-2-1"	""">7.1.1.1/H-2-1]* MUST make the logical screen that is made available for third party applications be at least 2.7 inches on the short edge(s). Devices which launched on an API level earlier than that of this document are exempted from this requirement. If Handheld device implementations claim support for high dynamic range displays through Configuration.isScreenHdr() , they: [<a href=""#7_1_display-and-graphics"""""	"07010101.720201"	"Configuration.isScreenHdr edge(s) isScreenHdr()"	""	""	""	"[('isScreenHdr()', 4)]"	""	"[('[android.content.res.cts.ConfigurationTest testIsScreenHdr CtsContentTestCases]', 2), ('[android.opengl.cts.OpenGlEsVersionTest testRequiredEglExtensionsForHdrCapableDisplay CtsOpenGLTestCases]', 2)]"	""	"[('/home/gpoor/cts-source/cts/tests/tests/content/src/android/content/res/cts/ConfigurationTest.java', 2), ('/home/gpoor/cts-source/cts/tests/tests/opengl/src/android/opengl/cts/OpenGlEsVersionTest.java', 2)]"	"[('/android/content/res/cts/ConfigurationTest.java', 4), ('/android/opengl/cts/OpenGlEsVersionTest.java', 4)]"	"[('([3:/android/content/res/cts/ConfigurationTest.java]:[isScreenHdr()]:[3]:method_text:[.colorMode |= Configuration.COLOR_MODE_HDR_YES;         assertTrue(config.isScreenHdr());     }     ])', 2), ('([1:/android/opengl/cts/OpenGlEsVersionTest.java]:[isScreenHdr()]:[1]:method_text:[g.e(TAG, ""Couldn\'t initialize EGL."");         }     }      @CddTest(requirement=""7.1.4.5/C-1-4"")    ])', 2)]"	""	""	""	""	""
