"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"
"269:784393) 9.11.3  . Identity Credential"	"9.11.3"	"C-0-1"	""	"[('android.security.identity.cts.ProvisioningTest', 14), ('android.security.identity.cts.UserAuthTest', 2), ('android.security.identity.cts.EphemeralKeyTest', 2), ('android.security.identity.cts.IdentityApiTest', 2), ('android.security.identity.cts.AttestationTest', 2)]"	"[('build', 5), ('getBytes', 3), ('printStackTrace', 3), ('getExampleDrivingPrivilegesCbor', 2), ('end', 2), ('Builder', 2), ('DeviceLockSession', 1), ('LockScreenSession', 1), ('setLockCredential', 1), ('performDeviceLock', 1), ('sleepDevice', 1), ('getTargetContext', 1), ('createEphemeralKey', 1), ('ByteArrayOutputStream', 1), ('CborBuilder', 1), ('addArray', 1), ('addMap', 1), ('toByteArray', 1), ('iterator', 1), ('next', 1), ('getPublicKey', 1), ('alreadyPersonalized', 1), ('defaultStoreSupportsAnyDocumentType', 1), ('deleteCredential', 1), ('multipleNamespaces', 1)]"	"[('CtsIdentityTestCases', 22)]"	""	"9.11.3/C-0-1"	"""C-0-1] MUST return non-null for the IdentityCredentialStore#getInstance() method. """
"269:784393) 9.11.3  . Identity Credential"	"9.11.3"	"C-0-4"	""	"[('android.security.identity.cts.HkdfTest', 3), ('android.security.identity.cts.UtilUnitTests', 2), ('android.security.identity.cts.EphemeralKeyTest', 1)]"	"[('createEphemeralKey', 1), ('coseMac0', 1), ('coseMac0DetachedContent', 1)]"	"[('CtsIdentityTestCases', 6)]"	""	"9.11.3/C-0-4"	"""C-0-4] The trusted application MUST be implemented in a way such that its security properties are not affected (e.g. credential data is not released unless access control conditions are satisfied, MACs can't be produced for arbitrary data) even if Android is misbehaving or compromised. <h3 id="""
