Section,id,req_id,status,class_def,method,Module,branch,Action Item,bug_id_cl,,description
,8.4,T-0-4,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,,b/77143742,
,8.4,W-0-2,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,public void .*,CtsDumpsysHostTestCases,,,,,
,8.4,W-0-3,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,public void .*,CtsDumpsysHostTestCases,,,,,
,8.4,W-0-4,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpsysHostTestCases,,,,,
,8.5,C-0-1,Merged,android.sustainedPerformance.cts.SustainedPerformanceHostTest,.*,CtsSustainedPerformanceHostTestCases,oreo-cts-dev,Verified by FO,682511,,
,8.5,C-1-1,Merged,android.sustainedPerformance.cts.SustainedPerformanceHostTest,.*,CtsSustainedPerformanceHostTestCases,oreo-cts-dev,Verified by FO,682511,,
,8.5,C-1-2,Merged,android.sustainedPerformance.cts.SustainedPerformanceHostTest,.*,CtsSustainedPerformanceHostTestCases,oreo-cts-dev,Verified by FO,682511,,
,8.5,C-2-1,Testable missing test,,,,,Verified by FO,b/74412494,,
,8.5,C-2-2,Testable missing test,,,,,Verified by FO,b/74412495,,
,8.5,C-3-1,Testable missing test,,,,,Verified by FO,b/74412496,,
,9,C-0-1,Merged,"android.permission2.cts.*
android.security.cts.*
android.appsecurity.cts.*
android.permission.cts.*",public void .*,"CtsPermission2TestCases
CtsSecurityTestCases
CtsAppSecurityHostTestCases
CtsSecurityHostTestCases",oreo-mr1-cts-dev,Verified by FO,721102,,
,9,C-0-2,Not testable,,,,,Don't need verification from FO,,,Requirement lists further requirements that the devices must comply
,9.1,C-0-1,Merged,android.permission2.cts.PermissionPolicyTest,testPlatformPermissionPolicyUnaltered,CtsPermission2TestCases,oreo-mr1-cts-dev,Verified by FO,721102,,
,9.1,C-0-2,Merged,android.permission2.cts.PrivappPermissionTest,testPrivappPermissionEnforcement,CtsPermission2TestCases,oreo-mr1-cts-dev,Verified by FO,721102,,
,9.1,C-0-2,Merged,android.permission2.cts.PrivappPermissionTest, testPrivappPermissionsEnforcement,CtsPermission2TestCases,oreo-mr1-cts-dev,Verified by FO,721102,,
,9.1,C-0-3,Merged,com.android.cts.usepermissionUsesPermissionTest23,testInteractiveGrant(),CtsAppSecurityHostTestCases,oreo-mr1-cts-dev,Verified by FO,721102,,"Test verifes that runtime permission prompt is shown
so covers the first part of the requirement. The second part
is not testable"
,9.1,C-0-4,Not testable,,,,,Verified by FO,http://b/109825151,,
,9.1,C-0-5,Not testable,,,,,Verified by FO,http://b/109825151,,No way to test for user consent
,9.1,C-1-1,Testable missing test,,,,,Verified by FO,http://b/110560967,,
,9.1,C-2-1,Testable missing test,,,,,Verified by FO,http://b/110560967,,
,9.11,C-0-1,Merged,android.keystore.cts.AndroidKeyStoreTest,"testKeyStore_LargeNumberOfKeysSupported_EC
testKeyStore_LargeNumberOfKeysSupported_AES
testKeyStore_LargeNumberOfKeysSupported_HMAC",CtsKeyStoreTestCases,oreo-mr1-cts-dev,Verified by FO,772641,,
,9.11,C-0-2,Not testable,,,,,Don't need verification from FO,http://b/109949024,,
,9.11,C-1-1,Not testable,,,,,Verified by FO,http://b/109949024,,
,9.11,C-1-2,Not testable,,,,,Verified by FO,http://b/109949024,,keystore package in tests/tests checks for all supported Algorithms
,9.11,C-1-3,Not testable,,,,,Verified by FO,http://b/109949024,,
,9.11,C-1-4,Not testable,,,,,Verified by FO,http://b/109949024,,
,9.11,H-1-1,Manually Testable Missing Test,,,,,,,,No longer in 8.1 CDD
,9.11,H-1-2,Not testable,,,,,,,,No longer in 8.1 CDD
,9.12,C-0-1,Not testable,,,,,Don't need verification from FO,,,
,9.12,C-0-2,Not testable,,,,,Don't need verification from FO,,,
,9.12,C-0-3,Not testable,,,,,Don't need verification from FO,,,
,9.12,C-0-4,Not testable,,,,,Don't need verification from FO,,,
,9.13,C-1-1,Not testable,,,,,Verified by FO,http://b/74547779,,
,9.13,C-1-2,Not testable,,,,,Verified by FO,http://b/74547779,,
,9.14,A-0-1,Not Testable,,,,,Verified by FO,http://b/77152494,,
,9.14,A-0-2,Not Testable,,,,,Verified by FO,http://b/77152494,,
,9.2,C-0-1,Merged,com.android.cts.process.ProcessTest,"testUid
testPid",CtsSecurityTestCases,oreo-mr1-cts-dev,Verified by FO,807698,,IsolatedProcessTest checks for services that should/not be visible to an isolated process
,9.2,C-0-2,Merged,android.security.cts.IsolatedProcessTest,"testGetServiceFromIsolatedService
estGetCachedServicesFromIsolatedService","testUid
testPid",oreo-mr1-cts-dev,Verified by FO,794100,,
,9.3,C-0-1,Merged,android.permission.cts.FileSystemPermissionTest,public void .*,CtsPermissionTestCases,oreo-mr1-cts-dev,Verified by FO,721102,,
,9.4,C-0-1,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.4,C-0-10,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.4,C-0-2,Not testable,,,,,Verified by FO,http://b/109940863,,Uploaded in oreo-mr1-cts-dev
,9.4,C-0-3,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.4,C-0-4,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.4,C-0-5,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.4,C-0-6,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.4,C-0-7,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.4,C-0-8,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.4,C-0-9,Not testable,,,,,Verified by FO,http://b/109940863,,
,9.5,A-1-1,Testable missing test,,,,,Verified by FO,http://b/77152494,,
,9.5,C-1-1,Not testable,,,,,Don't need verification from FO,,,The requirement lists other requirements
,9.5,C-1-2,Testable missing test,,,,,Verified by FO,http://b/109944547,,Generic Requirement
,9.5,C-1-3,Annotated,android.appsecurity.cts.ExternalStorageHostTest,testMultiUserStorageIsolated,CtsAppSecurityHostTestCases,oreo-mr1-cts-dev,Waiting for FO's review,722847,,
,9.5,C-1-4,Annotated,android.appsecurity.cts.ExternalStorageHostTest,testMultiUserStorageIsolated,CtsAppSecurityHostTestCases,oreo-mr1-cts-dev,Waiting for FO's review,722847,,
,9.5,C-1-5,Not testable,,,,,Verified by FO,http://b/74405921,,
,9.5,C-2-1,Not testable,,,,,Verified by FO,http://b/74405921,,"CreateUsersPermissionTest checks whether restricted profile can be created if device supports multiuser
 but does not check for telephony feature flag."
,9.5,C-3-1,Not testable,,,,,Verified by FO,http://b/74405921,,"CreateUsersPermissionTest checks restricted profile cannot  be created if device supports multiuser but 
does not check for telephony feature flag"
,9.6,C-1-1,Testable missing test,,,,,Verified by FO,http://b/77653759,,
,9.7,C-0-1,Not testable,,,,,Verified by FO,,,This is enforced by existing neverAllow rules
,9.7,C-0-2,Not testable,,,,,Verified by FO,http://b/110207977,,This is enforced by existing neverAllow rules
,9.7,C-0-3,Not testable,,,,,Verified by FO,http://b/110207978,,
,9.7,C-0-6,Merged,android.security.cts.SELinuxHostTest,"testMediaextractorHasSeccompFilter
testOmxHalHasSeccompFilter",CtsSecurityHostTestCases,oreo-mr1-cts-dev,Verified by FO,709864,,
,9.7,C-0-7,Merged,android.security.cts.KernelConfigTest,testConfigStackProtectorStrong,CtsSecurityHostTestCases,pie-cts-dev,Verified by FO,765081,http://b/110207977,
,9.7,C-0-8,Merged,android.security.cts.SELinuxHostTest,testConfigROData,CtsSecurityHostTestCases,pie-cts-dev,Verified by FO,765081,http://b/110207977,
,9.7,C-1-1,Merged,android.security.cts.SELinuxHostTest,public void .*,CtsSecurityHostTestCases,oreo-mr1-cts-dev,Verified by FO,709864,,
,9.7,C-1-2,Merged,android.security.cts.SELinuxHostTest,testGlobalEnforcing,CtsSecurityHostTestCases,oreo-mr1-cts-dev,Verified by FO,709864,,
,9.7,C-1-3,Merged,android.security.cts.SELinuxHostTest,testAllDomainsEnforcing,CtsSecurityHostTestCases,oreo-mr1-cts-dev,Verified by FO,709864,,
,9.7,C-1-4,Merged,android.security.cts.SELinuxHostTest,testMLSAttributes(),CtsSecurityHostTestCases,oreo-mr1-cts-dev,Verified by FO,709864,,
,9.9,C-1-1,Not testable,,,,,Verified by FO,,,
,9.9,C-2-1,Merged,android.security.cts.EncryptionTest,testEncryption,CtsSecurityTestCases,oreo-mr1-cts-dev,Verified by FO,757181,,
,2.5.3,A-0-2,Merged,android.app.cts.UiModeManagerTest,testUiMode(),CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,723460,,
,2.5.3,A-0-3,Merged,"android.car.cts.CarInfoManagerTest
android.car.cts.CarAppFocusManagerTest
android.car.cts.CarTest",".*
.*
.*",CtsCarTestCases,oreo-mr1-cts-dev,Verified by FO,723460,,
,3.1.1,C-0-1,Merged,android.os.ctsRequiredComponentTest,"testExtServicesPresent()
testSharedServicesPresent()",CtsOsTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,
,3.10.,C-1-1,Merged,android.accessibilityservice.cts.*,public void .*,CtsAccessibilityServiceTestCases,oreo-mr1-cts-dev,Verified by FO,639654,,
,3.10.,C-1-2,Merged,android.accessibilityservice.cts.AccessibilityEndToEndTest,"testTypeNotificationStateChangedAccessibilityEvent
testTypeViewClickedAccessibilityEvent
testTypeViewFocusedAccessibilityEvent
testTypeViewLongClickedAccessibilityEvent
testTypeViewSelectedAccessibilityEvent
testTypeViewTextChangedAccessibilityEvent
testTypeWindowStateChangedAccessibilityEvent",CtsAccessibilityServiceTestCases,oreo-mr1-cts-dev,Verified by FO,639654,,
,3.10.,C-1-3,Merged,android.accessibilityservice.cts.AccessibilitySettingsTest,testAccessibilitySettingsIntentHandled,CtsAccessibilityServiceTestCases,oreo-mr1-cts-dev,Verified by FO,639654,,
,3.10.,C-1-4,Not Testable,,,,,Verified by FO,http://b/74204992,,
,3.10.,C-2-1,Testable missing test,,,,,Verified by FO,http://b/74204992,,
,3.10.,W-1-1,Merged,android.accessibilityservice.cts.AccessibilityEndToEndTest,.*,CtsAccessibilityServiceTestCases,oreo-cts-dev,Verified by FO,go/aog/639654,,
,3.12.1,C-1-1,Merged,com.android.cts.verifier.tv.TvInputDiscoveryTestActivity,.*,CtsVerifierTvTestCases,,Verified by FO,639781,,
,3.12.1.1,C-1-1,Merged,com.android.cts.verifier.tv.TvInputDiscoveryTestActivity,.*,CtsVerifierTvTestCases,,Verified by FO,639781,,
,3.12.1.1,C-1-2,Merged,com.android.cts.verifier.tv.TvInputDiscoveryTestActivity,.*,CtsVerifierTvTestCases,,Verified by FO,639781,,
,3.12.1.2,C-1-1,Merged,com.android.cts.verifier.tv.TvInputDiscoveryTestActivity,.*,CtsVerifierTvTestCases,,Verified by FO,639781,,
,3.2.1,C-0-1,Merged,"android.appsecurity.cts.PermissionHostTest
android.permission.cts.*",.*,"CtsAppSecurityHostTestCases
CtsPermissionTestCases",oreo-mr1-cts-dev,Verified by FO,721102,,
,3.2.2,C-0-1,Merged,android.os.ctsRequiredComponentTest,"testBuildConstants
testBuildFingerprint",CtsOsTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,Ref: Build Parameters Sheet
,3.2.3.1,C-0-1,Merged,android.content.cts.AvailableIntentsTest,.*,CtsContentTestCases,oreo-mr1-cts-dev,Verified by FO,749874,,
,3.2.3.2,C-0-1,Testable missing test,,,,,,http://b/132176534,,
,3.2.3.2,C-0-2,Testable missing test,,,,,,http://b/132176534,,
,3.2.3.2,C-0-3,Manually Testable Missing Test,,,,,Don't need verification from FO,,,constant to resolve the action intent to land on? Maybe verify it manually
,3.2.3.2,C-0-4,Merged,android.os.cts.OsHostTests,testIntentFilterHostValidation,CtsOsHostTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,
,3.2.3.2,C-0-5,Merged,android.os.cts.OsHostTests,testIntentFilterHostValidation,CtsOsHostTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,
,3.2.3.2,C-0-6,Manually Testable Missing Test,,,,,,,,
,3.2.3.2,C-0-7,Manually Testable Missing Test,,,,,,,,
,3.2.3.2,C-0-8,Manually Testable Missing Test,,,,,,,,
,3.2.3.3,C-0-1,Merged,android.signature.cts.intent.IntentTest,shouldNotFindUnexpectedIntents,CtsIntentSignatureTestCases,oreo-cts-dev,Verified by FO,697327,,
,3.2.3.3,C-0-2,Merged,android.signature.cts.Intent.IntentTest,shouldNotFindUnexpectedIntents,CtsIntentSignatureTestCases,oreo-cts-dev,Verified by FO,697327,,
,3.2.3.3,C-0-3,Test Available,"android.content.cts.AvailableIntentsTest
android.systemintentnts.cts.TestsystemIntents
android.content.cts.IntentTest
android.app.cts.PendingIntentTest","android.content.cts.AvailableIntentsTest.*
android.systemintentnts.cts.TestsystemIntents.*
android.content.cts.IntentTest.*
android.app.cts.PendingIntentTest.*","CtsContentTestCases
CtsSystemIntentTestCases
CtsAppTestCases",,,,,
,3.2.3.4,C-0-1,Merged,"com.android.cts.intent.receiver.OwnerChangedBroadCastTest
android.packageinstaller.admin.cts.SessionCommitBroadCastTest
android.app.cts.WallpaperManagerTest
android.app.cts.backgroundrestrictions.BroadcastsTest
android.app.cts.backgroundrestrictions.BroadcastsTest","testOwnerChangedBroadcastReceived
testBroadcastNotReceivedForDifferentLauncher
wallPaperChangedBroadCastTest
testNonSupportedBroadcastsNotDelivered_runtimeReceiver()
testNonSupportedBroadcastsNotDelivered_manifestReceiver()","CtsDevicePolicyManagerTestCases
CtsAdminPackageInstallerTestCases
CtsAppTestCases
CtsBackgroundRestrictionsTestCases
CtsBackgroundRestrictionsTestCases",oreo-mr1-cts-dev,Verified by FO,807698,,there could be more
,3.2.3.5,C-1-1,Merged,android.systemintents.ctsTestSystemIntents,testSystemIntents(),CtsSystemIntentTestCases,,Verified by FO,732229,,
,3.2.3.5,C-2-1,Test Available,android.content.cts.AvailableIntentsTest,testChangeDefaultSmsApplication,CtsContentTestCases,,,http://b/73773621,,
,3.2.3.5,C-2-2,Test Available,android.content.cts.AvailableIntentsTest,testChangeDefaultDialer,CtsContentTestCases,,Verified by FO,http://b/80540079,,
,3.2.3.5,C-2-3,Merged,com.android.cts.verifier.telecom.EnablePhoneAccountTestActivity,N/A,CtsTelecomTestCases,oreo-mr1-cts-dev,Verified by FO,703844,,
,3.2.3.5,C-3-1,Test Available,android.content.cts.AvailableIntentsTest,testTapAndPaySettings,CtsContentTestCases,,Verified by FO,http://b/109668093,,
,3.2.3.5,C-4-1,Test Available,android.content.cts.AvailableIntentsTest,testVoiceInputSettingsIntent,CtsContentTestCases,,Verified by FO,http://b/131767657,,
,3.2.4,C-1-1,Not testable,,,,,Don't need verification from FO,,,
,3.2.4,C-1-2,Merged,android.server.cts.ActivityManagerDisplayTests,.*,CtsServicesHostTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,732683,,
,3.2.4,C-1-3,Merged,android.server.cts.ActivityManagerDispalyTests,testConsequentLaunchActivity(),CtsServicesHostTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,732683,,
,3.2.4,C-1-4,Merged,android.server.cts.ActivityManagerDispalyTests,testContentDestroyedOnDisplayRemoved(),CtsServicesHostTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,732683,,
,3.2.4,C-1-5,Merged,android.server.cts.ActivityManagerDispalyTests,testDisplayResized(),CtsServicesHostTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,732683,,
,3.2.4,C-2-1,Merged,android.server.cts.ActivityManagerDispalyTests,testLaunchNonResizableActivityfrom(),CtsServicesHostTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,732683,,
,3.2.4,C-3-1,Merged,android.server.cts.ActivityManagerDispalyTests,testPermissionLaunchFromDifferentApp(),CtsServicesHostTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,732683,,Builds a virtual display(private display--> VirtualDisplayBuilder) checks to see 
,3.3.1,C-0-1,Not Annotated,android.jni.cts.*,android.jni.cts.*,CtsJniTestCases,,,,,
,3.3.1,C-0-10,Merged,android.jni.cts.JniStaticTest,testLinkerNameSpaces,CtsJniTestCases,oreo-mr1-cts-dev,Verified by FO,757170,, Test checks if internal platform libraries should not be accessible from the jni code
,3.3.1,C-0-11,Test Available,CtsDeqpTestCases,CtsDeqpTestCases,CtsDeqpTestCases,,Test in platform/external/Deqp,http://b/118394532,,
,3.3.1,C-0-12,Test Available,CtsDeqpTestCases,CtsDeqpTestCases,CtsDeqpTestCases,,Test in platform/external/Deqp,,,Supposedly covered by DEQP tests
,3.3.1,C-0-2,Merged,"android.jni.cts.JniInstanceTest
android.jni.cts.JniCppTest
android.jni.cts.JniStaticTest",.*,CtsJniTestCases,oreo-mr1-cts-dev,Verified by FO,736739,,
,3.3.1,C-0-3,Test Available,CtsDeqpTestCases,CtsDeqpTestCases,CtsDeqpTestCases,,,,,The test checks that devices must support at lease one 32 bit abi but does not check only if 64 bit is supported
,3.3.1,C-0-4,Merged,android.os.cts.BuildTest,testCpuAbi,CtsOsTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,
,3.3.1,C-0-5,Merged,android.os.cts.BuildTest,testCpuAbi,CtsOsTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,
,3.3.1,C-0-6,Merged,android.os.cts.CpuFeaturesTest.,testArmCpuinfo(),CtsOsTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,This is only covering the NEON extension part. Ref: BuildParameters Sheet
,3.3.1,C-0-7,Merged,android.jni.cts.JniStaticTest,testLinkerNameSpaces,CtsJniTestCases,oreo-mr1-cts-dev,Verified by FO,757170,,
,3.3.1,C-0-8,Test Available,android.jni.cts.JniStaticTest,testLinkerNameSpaces,CtsJniTestCases,oreo-mr1-cts-dev,Verified by FO,,,No specific test
,3.3.1,C-0-9,Merged,android.jni.cts.JniStaticTest,testLinkerNameSpaces,CtsJniTestCases,oreo-mr1-cts-dev,Verified by FO,757170,,
,3.3.2,C-1-1,Merged,android.os.cts.CpuInstructionTest,testEmulatedArmCpuFeatures(),CtsOsTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,
,3.3.2,C-2-1,Merged,android.os.cts.CpuFeaturesTest,testArmCpuInfo(),CtsOsTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,
,3.4.1,A-0-1,Merged,android.webkit.cts.*,.*,CtsWebkitTestCases,oreo-cts-dev,Verified by FO,622338,,
,3.4.1,C-1-1,Not testable,,,,,Verified by FO,http://b/80540939,,
,3.4.1,C-1-2,Not testable,,,,,Verified by FO,http://b/80540939,,WebViewTest in webkit pacage tests for webview apis
,3.4.1,C-1-3,Merged,android.webkit.cts.WebSettingsTest,testUserAgentString_default(),CtsWebkitTestCases,oreo-cts-dev,Verified by FO,622338,,
,3.4.1,H-0-1,Merged,android.webkit.cts,.*,CtsWebkitTestCases,oreo-cts-dev,Verified by FO,622338,,
,3.4.1,T-0-1,Merged,android.webkit.cts.*,public void. *,CtsWebkitTestCases,oreo-cts-dev,Verified by FO,622338,,
,3.4.2,C-1-1,Not testable,,,,,Verified by FO,http://b/110346722,,
,3.4.2,C-1-2,Not testable,,,,,Verified by FO,http://b/110346722,,Not Enforceable / Discussed offline with Sachiyo
,3.4.2,C-2-1,Not testable,,,,,Verified by FO,http://b/110346722,,No actual test that checks if implementations that do not include a standalone browser still support core application intents
,3.4.2,H-0-1,Not testable,,,,,Verified by FO,http://b/110346722,,Discuss ed offline with Sachiyo about how this requirement is not enforceable
,3.8.1,C-1-1,Not testable,,,,,Don't need verification from FO,,,
,3.8.1,C-1-2,Merged,android.content.pm.cts.shortcutmanager.ShortcutManagerLauncherApiTest,testGetShortcutIconAdaptive,CtsShortcutManagerTestCases,oreo-cts-dev,Verified by FO,600555,,
,3.8.1,C-2-1,Merged,android.content.pm.cts.shortcutmanager.ShortcutManagerRequestPinTest,testRequestPinShortcut,CtsShortcutManagerTestCases,oreo-cts-dev,Verified by FO,600555,,
,3.8.1,C-2-2,Merged,android.content.pm.cts.shortcutmanager.ShortcutManagerRequestPinTest,testRequestPinShortcut,CtsShortcutManagerTestCases,oreo-cts-dev,Verified by FO,600555,,Does not verify user affordance
,3.8.1,C-2-3,Merged,"android.content.pm.cts.shortcutmanager.ShortcutManagerLauncherCallbacktest
andriod.content.pm.cts.ShortcutManagerMultiLauncherTest
android.content.pm.cts.ShortcutManagerStartShortcutTest",.*,CtsShortcutManagerTestCases,oreo-cts-dev,Verified by FO,600555,,
,3.8.1,C-3-1,Merged,android.content.pm.cts.shortcutmanager.ShortcutManagerRequestPinTest,testRequestPinShortcutSupported,CtsShortcutManagerTestCases,oreo-cts-dev,Verified by FO,600555,,
,3.8.1,C-4-1,Merged,android.content.pm.cts.shortcutmanager.*,.*,CtsShortcutManagerTestCases,oreo-cts-dev,Verified by FO,600555,,
,3.8.1,C-5-1,Merged,android.app.cts.NotificationChannelTest,testShowBadge(),CtsAppTestCases,oreo-cts-dev,Verified by FO,600555,,
,3.8.10,H-1-1,Not testable,,,,,Verified by FO,b/77817822,,b/
,3.8.10,T-1-1,Not testable,,,,,Verified by FO,b/77143742,,TV devices dont have  a lock screen
,3.8.12,C-1-1,Not testable,,,,,Don't need verification from FO,,,Location Modes is deprecated in P. 
,3.8.13,C-1-1,Not testable,,,,,Verified by FO,http://b/77908794,,No test checking for color glyph.
,3.8.13,C-1-2,Merged,android.text.cts.PaintTest,testHasGlyph(),CtsTextTestCases,oreo-cts-dev,Verified by FO,639638,,
,3.8.14,C-1-1,Not testable,,,,,Don't need verification from FO,,,
,3.8.14,C-1-2,Testable missing test,,,,,Verified by FO,http://b/74564435,,No Test checking for warning if the the app
,3.8.14,C-1-3,Testable missing test,,,,,Verified by FO,http://b/74564435,,
,3.8.14,C-2-1,Testable missing test,,,,,Verified by FO,http://b/74564435,,
,3.8.14,C-2-2,Testable missing test,,,,,Verified by FO,http://b/74564435,,
,3.8.14,C-2-3,Merged,android.server.cts.ActivityAndWindowManagerState,assertValidBounds,"CtsServicesHostTestCases
CtsWindowManagerDeviceTestCases",oreo-mr1-cts-dev,Verified by FO,733364,,
,3.8.14,C-3-1,Merged,android.app.cts.PipActivityTest,testLaunchPipActivity,CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,733364,,
,3.8.14,C-3-2,Not testable,,,,,Verified by FO,b/74564435,,
,3.8.14,C-3-3,Merged,android.server.cts.ActivityManagerDockedStackTests,"testEnterPipAspectRatioMin
testEnterPipAspectRatioMax",CtsServicesHostTestCases,oreo-mr1-cts-dev,Verified by FO,733364,,
,3.8.14,C-3-4,Merged,andriod.server.cts.ActivityManagerPinnedStackTests,testWindowButtonEnterPip,CtsServicesHostTestCases,oreo-mr1-cts-dev,Verified by FO,733364,,
,3.8.14,C-3-5,Not testable,,,,,Verified by FO,b/74564435,,
,3.8.14,C-3-6,Testable missing test,,,,,Verified by FO,b/74564435,,
,3.8.2,C-1-1,Not testable,,,,,Don't need verification from FO,b/77228661,,AppWidgetINcidentTest only runs test if the feature is reported. Dont think it can be tested standalone
,3.8.2,C-1-2,Merged,com.android.cts.verifier.widget.WidgetTestActivity,N/A,CtsVerifierWidgetTest,oreo-cts-dev,Verified by FO,600555,,
,3.8.2,C-1-3,Merged,com.android.cts.verifier.widget.WidgetTestActivity,N/A,CtsVerifierWidgetTest,oreo-cts-dev,Verified by FO,600555,,
,3.8.2,C-2-1,Merged,android.appwidget.cts.RequestPinAppWidgetTest,verifyIsRequestPinAppWidgetSupported,CtsAppWidgetTestCases,oreo-cts-dev,Verified by FO,600555,,
,3.8.2,C-2-2,Merged,android.appwidget.cts.RequestPinAppWidgetTest,"testPinWidget_launcher1()
testPinWidget_launcher2()",CtsAppWidgetTestCases,oreo-cts-dev,Verified by FO,600555,,
,3.8.3,A-0-1,Testable missing test,,,,,Verified by FO,http://b/77152494,,
,3.8.3,H-0-1,Merged,android.app.cts.NotificationManagerTest,testNotify(),CtsAppTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,717014,,
,3.8.3,H-0-2,Merged,android.app.cts.NotificationManagerTest,testMediaStyle(),CtsAppTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,651523,,
,3.8.3,H-0-3,Testable Missing Test,,,,,,http://b/132272452,,
,3.8.3,H-0-4,Manually Testable Missing Test,,,,,Verified by FO,b/73783357,,Verified offline with sachiyo
,3.8.3,H-0-5,Test Available,android.app.cts.RemoteInputTest," testRemoteInputBuilder_setChoicesOnly
",CtsAppTestCases,,,,,"This is testing the
setChoicesApi and not 
testing whether it is displayed"
,3.8.3.1,C-1-1,Merged,android.app.cts.NotificationChannelTest,.*,,,Verified by FO,648873,,
,3.8.3.1,C-1-2,Not Testable,,,,,Don't need verification from FO,http://b/123031181,,Verified offline with sachiyo.
,3.8.3.1,C-1-3,Merged,"android.app.cts.NotificationManagerTest
android.app.cts.NotificationChannelTest
android.app.cts.NotificationTest",.*,CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,717014,,
,3.8.3.1,C-1-4,Merged,"android.app.cts.NotificationManagerTest
android.app.cts.NotificationChannelTest
android.app.cts.NotificationTest",.*,CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,717014,,
,3.8.3.1,C-1-5,Manually Testable Missing Test,,,,,Verified by FO,http://b/73783357,,
,3.8.3.1,C-1-6,Manually Testable Missing Test,,,,,Verified by FO,http://b/73783357,,
,3.8.3.1,C-2-1,Merged,android.app.cts.NotificationTest,testMessagingStyle_historicMessage,CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,717014,,
,3.8.3.1,C-3-1,Manually Testable Missing Test,,,,,Don't need verification from FO,,,Verified offline with Sachiyo
,3.8.3.2,C-1-1,Merged,com.android.cts.verifier.notifications.NotificationListenerService,com.android.cts.verifier.notifications.NotificationListenerService.*,CTSVerifierNotification,oreo-mr1-cts-dev,Verified by FO,717014,,
,3.8.3.2,C-1-2,Merged,com.android.cts.verifier.notifications.NotificationListenerService,com.android.cts.verifier.notifications.NotificationListenerService.*,CTSVerifierNotification,oreo-mr1-cts-dev,Verified by FO,717014,,
,3.8.3.2,C-2-1,Merged,com.android.cts.verifier.notifications.NotificationListenerService,com.android.cts.verifier.notifications.NotificationListenerService.*,CTSVerifierNotification,oreo-mr1-cts-dev,Verified by FO,717014,,
,3.8.3.2,C-2-2,Not testable,,,,,Don't need verification from FO,,,Verified offline with Sachiyo
,3.8.3.3,C-1-1,Merged,android.systemintents.ctsTestSystemIntents,testSystemIntents(),CtsSystemIntentTestCases,,Verified by FO,712993,,"TestSystemIntents checks if the intent can be resolved but does not check if UI_MODE_NORMAL users
 can grant or deny(CTS-V case if testable)"
,3.8.3.3,C-1-2,Manually Testable Missing Test,,,,,Verified by FO,http://b/132272452,,
,3.8.3.3,C-1-3,Manually Testable Missing Test,,,,,Verified by FO,http://b/132272452,,
,3.8.4,A-0-1,Testable missing test,,,,,Verified by FO,http://b/77152494,,
,3.8.4,C-1-1,Not Annotated,android.app.cts.SearchManagerTest,android.app.cts.SearchManagerTest.*,CtsAppTestCases,,Not Verified by FO,http://b/110280050,,
,3.8.4,C-2-1,Not testable,,,,,Don't need verification from FO,,,Verified offline with Sachiyo
,3.8.4,C-2-2,Not testable,,,,,Verified by FO,http://b/110420806,,
,3.8.5,C-1-1,Not testable,,,,,Don't need verification from FO,,,Verified offline with sachiyo
,3.8.5,C-1-2,Merged,android.widget.toast.cts.LegacyToastTest,"testAddTwoToastViaTestApisWhenUidFocused
testAddSingleToastViaAddingWindowApisWhenUidFocused",CtsToasTestCases,oreo-mr1-cts-dev,Verified by FO,721102,,
