Section,id,req_id,status,class_def,method,Module,branch,Action Item,bug_id_cl,,description
,3.15,C-0-4,Merged,android.appsecurity.cts.EphemeralTest,testPackageInfo(),CtsAppSecurityHostTestCases,oreo-cts-dev,Verified by FO,639792,,
,3.15,H-1-1,Merged,com.android.cts.verifier.companion.CompanionDeviceTestActivity,.*,N/A,oreo-cts-dev,Verified by FO,639793,,@CDD Doc supposed to be 3.16
,3.16,C-1-1,Not testable,,,,,Don't need verification from FO,b/77228661,,"companion tests only run tests for devices declaring that feature, feature Not testable standalone"
,3.16,C-1-2,Merged,com.android.cts.verifier.companion.CompanionDeviceTestActivity,.*,CtsVerifierCompanion,oreo-cts-dev,Verified by FO,639793,,
,3.16,C-1-3,Merged,com.android.cts.verifier.companion.CompanionDeviceTestActivity,.*,CtsVerifierCompanion,oreo-cts-dev,Verified by FO,639793,,
,3.5,C-0-1,Merged,android.content.cts.IntentTest,.*,CtsContentTestCases,oreo-mr1-cts-dev,Verified by FO,749874,,
,3.5,C-0-2,Merged,"android.content.cts.ContentProviderTest
android.app.cts.ServiceTest",.*,"CtsContentTestCases
CtsAppTestCases",oreo-mr1-cts-dev,Verified by FO,749874,,
,3.5,C-0-3,Merged,android.content.cts.IntentTest,public void.*,CtsContentTestCases,oreo-mr1-cts-dev,Verified by FO,749874,,
,3.5,C-0-4,Testable missing test,,,,,,http://b/117427007,,
,3.5,C-0-5,Testable missing test,,,,,,http://b/117427007,,
,3.5,C-0-6,Merged,android.app.cts.backgroundrestrictions.BroadcastsTest,"testNonSupportedBroadcastsNotDelivered_runtimeReceiver
testNonSupportedBroadcastsNotDelivered_manifestReceiver",CtsBackgroundRestrictionsTestCases,oreo-cts-dev,Verified by FO,622455,,"This test does not verify restricted intents are not
delivered to manifest or runtime receiver for restricted  broadcast intents
as part of new restrictions mandated since oreo"
,3.5,C-0-7,Merged,android.app.cts.ActivityManagerProcessStateTest,testBackgroundCheckStopsService(),CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,749874,,
,3.5,C-0-8,Test Available,android.os.cts.PowerManagerTests,testCachedProcessReleasesWakeLock(),CtsHostPowerManagerTestApp,,,http://b/118399333,,
,3.6,C-0-1,Merged,android.signature.cts.api.SignatureTest,testSignature(),CtsSignatureTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,702969,,
,3.6,C-0-2,Merged,android.signature.cts.api.SignatureTest,testSignature(),CtsSignatureTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,702969,,
,3.6,C-0-3,Merged,android.signature.cts.api.SignatureTest,testSignature(),CtsSignatureTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,702969,,
,3.6,C-0-4,Not testable,,,,,Verified by FO,http://b/110703502,,
,3.6,C-0-5,Not testable,,,,,Verified by FO,http://b/110703502,,
,3.6,C-0-6,Not testable,,,,,Verified by FO,http://b/110703502,,
,3.7,C-0-2,Merged,android.app.cts.ActivityManagerMemoryClassTest,testGetMemoryClass,CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,622474,,
,3.9,C-1-1,Not testable,,,,,Don't need verification from FO,,,Tests only verify requirements if the feature is reported/ Don't think there is a way to test it standalone
,3.9,C-1-2,Not testable,,,,,Don't need verification from FO,,,
,3.9,C-1-3,Merged,com.android.cts.devicepolicy.CustomManagedprofileTest,testIsProvisioningAllowed(),CtsDevicePolicyManagerTestCases,oreo-mr1-cts-dev,Verified by FO,725405,,
,3.9,H-1-1,Merged,"com.android.cts.verifier.managedprovisoning.*
com.android.cts.deviceowner.*
com.android.cts.devicepolicy.*",.*,CtsDevicePolicyManagerTestCases,oreo-mr1-cts-dev(8.1),Verified by FO,725405,,Device admin packages in Cts verifier and Cts test for a full range of device admin policies
,4,C-0-1,Merged,android.appsecurity.cts.SplitTests,.*,CtsAppSecurityTestCases,oreo-mr1-cts-dev,Verified by FO,,,
,4,C-0-2,Merged,android.appsecurity.cts.PkgInstallSignatureVerificationTest,testInstallOriginalSucceeds,CtsAppSecurityTestCases,oreo-cts-dev,Verified by FO,681790,,
,4,C-0-3,Not testable,,,,,Don't need verification from FO,,,Generic Requirement
,4,C-0-4,Testable missing test,,,,,Verified by FO,http://b/79612546,,
,4,C-0-7,Test Available,android.harmfulappwarning.cts.HarmfulAppWarningTest,"testNormalLaunch
testLaunchAnyway
testUninstall
testDismissDialog",CtsHarmfulAppWarningHostTestCases,,,,,
,5,C-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList,CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5,C-0-2,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList,CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5,C-0-3,Not testable,,,,,Don't need verification from FO,,,Generic Requirement applicable to all tests in media package
,5.1,A-0-2,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.1,A-0-3,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.1,T-0-2,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.1,T-0-3,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.11,C-1-1,Merged,com.android.cts.verifierAudioFrequencyUnprocessedActivity,.*,CtsVerifierAudio,oreo-cts-dev,Verified by FO,603120,,
,5.11,C-1-2,Merged,com.android.cts.verifier.AudioFrequencyUnprocessedActivity,.*,CtsVerifierAudio,oreo-cts-dev,Verified by FO,603120,,
,5.11,C-1-3,Merged,com.android.cts.verifierAudioFrequencyUnprocessedActivity,.*,CtsVerifierAudio,oreo-cts-dev,Verified by FO,603120,,
,5.11,C-1-4,Merged,com.android.cts.verifier.AudioFrequencyUnprocessedActivity,.*,CtsVerifierAudio,oreo-cts-dev,Verified by FO,603120,,
,5.11,C-1-5,Merged,com.android.cts.verifier.AudioFrequencyUnprocessedActivity,.*,CtsVerifierAudio,oreo-cts-dev,Verified by FO,603120,,
,5.11,C-1-6,Merged,com.android.cts.verifier.AudioFrequencyUnprocessedActivity,.*,CtsVerifierAudio,oreo-cts-dev,Verified by FO,603120,,
,5.11,C-1-7,Testable missing test,,,,,Verified by FO,http://b/119412672,,
,5.11,C-1-8,Testable missing test,,,,,Verified by FO,http://b/119412672,,
,5.11,C-1-9,Testable missing test,,,,,Verified by FO,http://b/119412672,,
,5.11,C-2-1,Not testable,,,,,Don't need verification from FO,http://b/119412672,,AudioFrequencyUnprocessedActivity checks whether devices support unprocessed or not.
,5.2,A-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.2,A-0-2,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.2,C-1-1,Merged,android.media.cts.MediaCodecListTest,areRequiredCodecTypesSupported,CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.2,C-2-1,Testable missing test,,,,,Verified by FO,http://b/109769769,,
,5.2,H-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.2,H-0-2,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.2,T-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.2,T-0-2,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,A-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,A-0-2,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
