"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
""	"7.1.4.6"	"H-0-1"	""	"[('android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest', 2)]"	"[('getDevice', 16), ('cleanup', 4), ('run', 2), ('getMessage', 2), ('init', 2)]"	""	""	"7.1.4.6/H-0-1"	""">7.1.4.6/H-0-1] MUST report whether the device supports the GPU profiling capability via a system property graphics.gpu.profiler.support. If Handheld device implementations declare support via a system property graphics.gpu.profiler.support, they: [<a href=""#7_1_display_and_graphics"""""	"07010406.720001"	"profiler graphics.gpu.profiler.support"	"profiler"	"GPU"	""	"[('profiler', 1), ('graphics.gpu.profiler.support', 1)]"	"gpu"	"[('[android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest isEmpty None]', 2)]"	""	"[('/home/gpoor/cts-source/cts/hostsidetests/graphics/gpuprofiling/src/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 2)]"	"[('/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 4)]"	"[('([3:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[profiler]:[3]:method_text:[t of the feature. We check that gpu.counters and gpu.renderstages sources are available.      */    ])', 1), ('([1:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[graphics.gpu.profiler.support]:[1]:method_text:[t of the feature. We check that gpu.counters and gpu.renderstages sources are available.      */    ])', 1)]"	""	""	""	""	""
""	"7.1.4.6"	"H-1-1"	""	"[('android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest', 1)]"	"[('getDevice', 8), ('cleanup', 2), ('run', 1), ('getMessage', 1), ('init', 1)]"	""	""	"7.1.4.6/H-1-1"	""">7.1.4.6/H-1-1] MUST report as output a protobuf trace that complies with the schema for GPU counters and GPU renderstages defined in the Perfetto documentation. [<a href=""#7_1_display_and_graphics"""""	"07010406.720101"	"renderstages protobuf"	"renderstages protobuf"	"GPU"	""	"[('renderstages', 1)]"	"gpu"	"[('[android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest isEmpty None]', 1)]"	""	"[('/home/gpoor/cts-source/cts/hostsidetests/graphics/gpuprofiling/src/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 1)]"	"[('/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 2)]"	"[('([4:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[renderstages]:[4]:method_text:[t of the feature. We check that gpu.counters and gpu.renderstages sources are available.      */    ])', 1)]"	""	""	""	""	""
""	"7.1.4.6"	"H-1-2"	""	"[('android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest', 3), ('android.graphics.gpuprofiling.cts.CtsFrameTracerDataSourceTest', 1)]"	"[('getDevice', 16), ('cleanup', 4), ('run', 2), ('getMessage', 2), ('init', 2), ('setUp', 1)]"	""	""	"7.1.4.6/H-1-2"	""">7.1.4.6/H-1-2] MUST report conformant values for the device’s GPU counters following the gpu counter trace packet proto. [<a href=""#7_1_display_and_graphics"""""	"07010406.720102"	"counters proto packet"	"proto counters packet"	"GPU"	""	"[('counters', 2), ('proto', 2)]"	"gpu"	"[('[android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest isEmpty None]', 2), ('[android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest testProfilingDataProducersAvailable None]', 1)]"	""	"[('/home/gpoor/cts-source/cts/hostsidetests/graphics/gpuprofiling/src/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 3), ('/home/gpoor/cts-source/cts/hostsidetests/graphics/gpuprofiling/src/android/graphics/gpuprofiling/cts/CtsFrameTracerDataSourceTest.java', 1)]"	"[('/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 5), ('/android/graphics/gpuprofiling/cts/CtsFrameTracerDataSourceTest.java', 2)]"	"[('([6:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[counters]:[6]:method_text:[t of the feature. We check that gpu.counters and gpu.renderstages sources are available.      */    ])', 1), ('([7:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[counters]:[7]:method_text:[ssertTrue(""Producer "" + COUNTERS_SOURCE_NAME + "" not found"", countersSourceFound);         }     } }])', 1), ('([3:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[proto]:[3]:method_text:[t of the feature. We check that gpu.counters and gpu.renderstages sources are available.      */    ])', 1), ('([2:/android/graphics/gpuprofiling/cts/CtsFrameTracerDataSourceTest.java]:[proto]:[2]:method_text:[TURE_EMBEDDED, FEATURE_LEANBACK_ONLY,                 FEATURE_WATCH, FEATURE_TELEVISION);     }     ])', 1)]"	""	""	""	""	""
""	"7.1.4.6"	"H-1-3"	""	"[('android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest', 2), ('android.graphics.gpuprofiling.cts.CtsFrameTracerDataSourceTest', 2)]"	"[('getDevice', 16), ('cleanup', 4), ('run', 2), ('getMessage', 2), ('init', 2), ('setUp', 1)]"	""	""	"7.1.4.6/H-1-3"	""">7.1.4.6/H-1-3] MUST report conformant values for the device’s GPU RenderStages following the render stage trace packet proto. [<a href=""#7_1_display_and_graphics"""""	"07010406.720103"	"trace RenderStages"	"RenderStages trace"	"GPU"	""	"[('trace', 3), ('RenderStages', 1)]"	"gpu"	"[('[android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest isEmpty None]', 2), ('[android.graphics.gpuprofiling.cts.CtsFrameTracerDataSourceTest testFrameTracerProducerAvailable None]', 1)]"	""	"[('/home/gpoor/cts-source/cts/hostsidetests/graphics/gpuprofiling/src/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 2), ('/home/gpoor/cts-source/cts/hostsidetests/graphics/gpuprofiling/src/android/graphics/gpuprofiling/cts/CtsFrameTracerDataSourceTest.java', 2)]"	"[('/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 4), ('/android/graphics/gpuprofiling/cts/CtsFrameTracerDataSourceTest.java', 3)]"	"[('([1:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[trace]:[1]:method_text:[t of the feature. We check that gpu.counters and gpu.renderstages sources are available.      */    ])', 1), ('([4:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[RenderStages]:[4]:method_text:[t of the feature. We check that gpu.counters and gpu.renderstages sources are available.      */    ])', 1), ('([2:/android/graphics/gpuprofiling/cts/CtsFrameTracerDataSourceTest.java]:[trace]:[2]:method_text:[TURE_EMBEDDED, FEATURE_LEANBACK_ONLY,                 FEATURE_WATCH, FEATURE_TELEVISION);     }     ])', 1), ('([3:/android/graphics/gpuprofiling/cts/CtsFrameTracerDataSourceTest.java]:[trace]:[3]:method_text:[      Assert.assertTrue(""Producer "" + FRAME_TRACER_SOURCE_NAME + "" not found"", sourceFound);     } }])', 1)]"	""	""	""	""	""
""	"7.1.4.6"	"H-1-4"	""	"[('android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest', 1)]"	"[('getDevice', 8), ('cleanup', 2), ('run', 1), ('getMessage', 1), ('init', 1)]"	""	""	"7.1.4.6/H-1-4"	""">7.1.4.6/H-1-4] MUST report a GPU Frequency tracepoint as specified by the format: power/gpu_frequency. Handheld device implementations: [<a href=""#7_1_display_and_graphics"""""	"07010406.720104"	"Frequency tracepoint"	"Frequency tracepoint"	"GPU"	""	"[('Frequency', 1)]"	"gpu"	"[('[android.graphics.gpuprofiling.cts.CtsGpuProfilingDataTest isEmpty None]', 1)]"	""	"[('/home/gpoor/cts-source/cts/hostsidetests/graphics/gpuprofiling/src/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 1)]"	"[('/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java', 2)]"	"[('([1:/android/graphics/gpuprofiling/cts/CtsGpuProfilingDataTest.java]:[Frequency]:[1]:method_text:[t of the feature. We check that gpu.counters and gpu.renderstages sources are available.      */    ])', 1)]"	""	""	""	""	""
