"Section"	"section_id"	"req_id"	"Test Availability"	"Annotation? "	"New Req for R?"	"New CTS for R?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible "	"Comment (external) "	"New vs Updated(Q)"	"CTS Bug Id "	"CDD Bug Id"	"CDD CL"	"Area"	"Shortened"	"Test Level"	""	"external version"	""	""	""
"7.4.5.1 Minimum Network Capability"	"7.4.5.1"	"C-0-1"	"Test Available"	""	""	""	"com.android.cts.verifier.net.ConnectivityBackgroundTest"	"com.android.cts.verifier.net.ConnectivityBackgroundTest.*"	"CtsVerifierNetTestCases"	""	""	""	""	""	""	"Connectivity (NFC / BT / USB)"	"Connectivity"	"2"	""	""	""	""	""
""	"9.11.3"	"C-0-2"	"Test Available"	""	"Yes"	""	"android.security.identity.cts.UserAuthTest"	"testUserAuth"	"CtsIdentityTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.5.2"	"C-0-4"	"Test Available"	""	""	""	"com.android.cts.verifier.net.ConnectivityBackgroundTest"	"com.android.cts.verifier.net.ConnectivityBackgroundTest.*"	"CtsVerifierNetTestCases"	""	""	""	""	""	""	"Connectivity (NFC / BT / USB)"	"Connectivity"	"2"	""	""	""	""	""
""	"7.2.4"	"C-3-3"	"Test Available"	""	"Yes"	""	"android.app.cts.SystemFeaturesTest"	"testTouchScreenFeatures"	"CtsAndroidAppTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"9.8.10"	"C-1-2"	"Other (see comment)"	""	"Yes"	""	""	""	""	"This may be a missing test, but hard to test. Very asyncronous. And attemps to search for tests have failed."	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2 IPv6"	"7.4.5.2"	"C-0-2"	"Test Available"	""	""	""	"com.android.cts.verifier.net.ConnectivityBackgroundTest"	"com.android.cts.verifier.net.ConnectivityBackgroundTest.*"	"CtsVerifierNetTestCases"	""	""	""	""	""	""	"Connectivity (NFC / BT / USB)"	"Connectivity"	"2"	""	""	""	""	""
""	"3.2.3.1"	"H-0-2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.1.4.2"	"C-1-10"	"Test Available"	""	"Yes"	""	"android.graphics.cts.VulkanDeqpLevelTest"	"testUnpremul()"	"CtsGraphicsTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.8.11. Data blobs sharing"	"9.8.11"	"C-1-1"	"Test Available"	""	"Yes"	""	"com.android.cts.blob.BlobStoreManagerTest"	"preIsIgnored()"	"CtsBlobStoreTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.1.1.1"	"C-3-1"	"Test Available"	""	"Yes"	""	"android.server.wm.jetpack.wrapper.sidecarwrapperimpl.TestSidecarDisplayFeature"	"TestSidecarDisplayFeature"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.13"	"C-1-2"	"Test Available"	""	"Yes"	""	"android.hardware.cts.SensorManagerStaticTest"	"testGetRotationMatrix"	"CtsSensorTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"6.1"	"H-0-6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.10"	"C-4-2"	"Test Available"	""	"Yes"	""	"com.android.cts.verifier.biometrics.CredentialEnrolledTests"	"mBPSetAllowedAuthenticatorsButton"	"CtsVerifierMockVrListenerServiceFiles"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.1"	"Tab-0-1"	"Not Testable"	""	"Yes"	""	""	""	""	"The requierment states: 'MUST preload one or more applications or service components with an intent handler...'. The spirit of this is that a valid application starts for all these intents.  A manual test would need a programic component to fire the intent and then a person would need to verify if this app was sufficient to fofill the spirit of the intent. "	""	""	""	""	""	""	""	"-1"	""	""	""	""	""
""	"7.4.5.3"	"C-1-5"	"Test Available"	""	"Yes"	""	"android.net.cts.ConnectivityManagerTest"	"testRestrictedNetworks"	"CtsWifiTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.5.3"	"C-1-3"	"Test Available"	""	"Yes"	""	"android.net.wifi.cts.WifiManagerTest"	"testVerboseLoggingEnabled"	"CtsWifiTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-5-1"	"Test Available"	""	"Yes"	""	"android.bluetooth.cts.BluetoothLeScanTest"	"isEnabled "	"CtsBluetoothTestCases"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""
"7.1.4.2 Vulkan"	"7.1.4.2"	"C-1-9"	"Test Available"	"Yes"	"Yes"	""	"android.graphics.cts.VulkanDeqpLevelTest.java"	"testVulkanDeqpLevel()"	"CtsGraphicsTestCases"	""	""	""	""	""	""	"Runtime / Languages / Libraries"	"Runtime"	"-1"	""	""	""	""	""
""	"3.2.3.5"	"C-15-1"	"Test Available"	""	"Yes"	""	"android.content.cts.AvailableIntentsTest"	"testUsageAccessSettings"	"CtsContentTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.1"	"W-0-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"9.1"	"C-2-1"	"Test Available"	""	"Yes"	""	"android.systemintents.cts.TestManageOverlayPermissionIntents"	"testAccessSelection()"	"CtsSystemIntentTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.1.4.2 Vulkan"	"7.1.4.2"	"C-1-8"	"Test Available"	"Yes"	"Yes"	""	"android.graphics.cts.VulkanDeqpLevelTest.java"	"testVulkanDeqpLevel()"	"CtsGraphicsTestCases"	""	""	""	""	""	""	"Security"	"Security"	"2"	""	""	""	""	""
""	"3.2.3.5"	"C-13-2"	"Test Available"	""	"Yes"	""	"com.android.cts.managedprofile.ProvisioningTest"	"invokeOnColorsChangedListenerTest_systemOnly()"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.1.1"	"C-0-2"	"Test Available"	""	"Yes"	""	" android.os.ext.cts.SdkExtensionsTest"	"testValidValues"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""
""	"3.1.1"	"C-0-3"	"Not Testable"	""	"Yes"	""	""	""	""	"Verifying all the APIs for all of the APIs at a given version requires that all APIs have validating tests with sufficient coverate accessable to the CTS. This is not the case"	""	""	""	""	""	""	""	"-1"	""	""	""	""	""
""	"7.2.4"	"C-3-2"	"Test Available"	""	"Yes"	""	"android.app.cts.SystemFeaturesTest"	"testFakeTouchFeatures"	"CtsAndroidAppTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.13"	"C-1-3"	"Test Missing"	""	"Yes"	""	""	""	""	"Since SENSOR_TYPE_HINGE_ANGLE is not found in a code search it seems this test doesn't exist"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-5-2"	"Test Available"	""	"Yes"	""	"android.bluetooth.cts.AdvertiseSettingsTest"	"testDefaultSettings"	"CtsBluetoothTestCases"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""
""	"3.8.6"	"C-1-3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"6.1"	"C-3-1"	"Test Available"	""	"Yes"	""	"android.adbmanager.cts.AdbManagerHostDeviceTest"	"test_isadbWifiSupported"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.8.16"	"H-1-3"	"Test Available"	""	"Yes"	""	"android.controls.cts.CtsControlsService"	"createPublisherForAllAvailable"	"CtsControlsDeviceTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"4"	"C-0-9"	"Test Available"	""	"Yes"	""	"android.appsecurity.cts.PkgInstallSignatureVerificationTest"	"testInstallV4WithV2Signer testInstallV4WithV3Signer testInstallV4WithV2V3Signer testInstallV4WithV2NoVeritySigner testInstallV4WithV2VeritySigner testInstallV4WithV3NoVeritySigner testInstallV4WithV3VeritySigner testInstallV4WithV2SignerDoesNotVerify testInstallV4WithV3SignerDoesNotVerify testInstallV4WithV2V3SignerDoesNotVerify testInstallV4With128BytesAdditionalDataSucceeds testInstallV4With10MBytesAdditionalDataFails testInstallV4WithWrongBlockSize testInstallV4WithDifferentBlockSize testInstallV4WithWrongRawRootHash testInstallV4WithWrongSignatureBytes testInstallV4WithWrongSignatureBytesSize testInstallV4WithNoMerkleTree testInstallV4WithWithTrailingDataInMerkleTree testInstallV4WithMerkleTreeBitsFlipped "	" "	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"9.16"	"C-1-4"	"Test Available"	""	"Yes"	""	"android.content.cts.ContextTest"	"testMoveDatabaseFrom"	"CtsContentTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.5.2"	"C-0-5"	"Not Testable"	""	""	""	""	""	""	""	""	""	""	""	""	"Connectivity (Wifi / Telephony / Modem)"	"Connectivity"	"-1"	""	""	""	""	""
""	"3.8.4"	"H-1-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
