	7.3.10	C-4-3	Not testable		Yes													
	7.3.10	C-5-1	Not testable		Yes													
	7.3.10	C-5-2	Test Available		Yes													
7.3.10 LockScreen and biometrics	7.3.10	C-4-1			Yes													
	7.3.10	C-6-1			Yes													
	7.3.13	C-1-2			Yes		android.graphics.cts.PaintTest	testSetColorLAB()	CtsGraphicsTestCases									
7.3.13 Hinge Angle Sensor	7.3.13	C-1-1	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	invalidFlags()	CtsCameraTestCases									
	7.3.13	C-1-3			Yes													
	7.3.4	A-3-1	Test Available		Yes													
	7.3.4	A-3-2	Test Available		Yes													
	7.3.6	C-2-1	Test Available		Yes													
	7.4.5.2	C-4-1	Test Available		Yes													
	7.4.5.3	C-1-2	Test Missing		Yes		android.graphics.cts.PaintTest	Paint()	CtsGraphicsTestCases									
7.4.5.3. Captive Portals	7.4.5.3	C-1-1	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	testGetDesiredWidth()	CtsCameraTestCases									
	7.4.5.3	C-1-3	Test Missing		Yes		android.net.wifi.cts.WifiBackupRestoreTest	getRecord()	CtsWifiTestCases									
	7.4.5.3	C-1-4	Test Missing		Yes		android.net.wifi.cts.WifiBackupRestoreTest	testMutableDrawable()	CtsWifiTestCases									
	7.4.5.3	C-1-5			Yes		android.net.wifi.cts.WifiLocationInfoTest	testExceptionInStream()	CtsWifiTestCases									
	7.4.8	C-1-2	Test Available		Yes		android.graphics.cts.PaintTest	Paint()	CtsGraphicsTestCases									
	7.5.4	H-1-1	Not testable		Yes		android.hardware.camera2.cts.LogicalCameraDeviceTest	testDefaultFOV	CtsCamera2TestCases			New in Q	133786213	123773985	6923679	Camera	Camera	2
	7.5.4	C-0-12	Other (see comment)		Yes		android.view.cts.TextureViewCameraTest	testBindChildView()	CtsViewTestCases									
	9.1	C-2-1	Not testable		Yes		android.systemintents.cts.TestManageOverlayPermissionIntents	testAccessSelection()	CtsSystemIntentTestCases									
	9.10.	C-0-4	Not testable		Yes		android.appsecurity.cts.ApkVerityInstallTest	testAddAll()										
	9.10.	C-0-5	Not testable		Yes		android.appsecurity.cts.ApkVerityInstallTest	testRemoveIf()										
	9.10.	C-1-10	Not testable		Yes		android.appsecurity.cts.ApkVerityInstallTest	testIndexOf()										
	9.10.	C-1-9	Test Available		Yes		android.graphics.cts.VulkanDeqpLevelTest	testUnpremul()	CtsGraphicsTestCases									
	9.11.3	C-0-2	Not testable		Yes		android.net.wifi.cts.ConnectedNetworkScorerTest	testEmptyByteBuffer()	CtsWifiTestCases									
	9.11.3	C-0-4	Not testable		Yes		android.net.wifi.nl80211.cts.NativeWifiClientTest	testPostProcessorInvalidReturn()	CtsWifiTestCases									
9.11.3 Identity Credential	9.11.3	C-0-1	Test Available		Yes		android.provider.cts.media.MediaStoreAudioTestHelper	testOffset()	CtsProviderTestCases									
