Section	section_id	req_id	Test Availability	Annotation?	New Req for S?	New CTS for S?	class_def	method	module	Comment(internal) e.g. why a test is not possible	Comment (external)	New vs Updated(Q)	CTS Bug Id	CDD Bug Id	CDD CL	Area	Shortened	Test Level		external version			
	3.8.1	C-5-1	Test Available				android.app.cts.NotificationChannelTest	testShowBadge()	CtsAppTestCases							Launcher	Launcher	1					
	3.8.10	H-1-1	Manually Testable Missing Test													System UI	System UI	0.2					
	3.8.10	T-1-1	Not testable													System UI	System UI	-1					
3.8.12 Location	3.8.12	C-1-2	Not testable							Compatibility violation by Xiaomin w.r.to location Modes Bug for details			123360318			Location & Sensors	Location & Sensors	0.2					
	3.8.12	C-1-3	Not testable							Compatibility violation by Xiaomin w.r.to location Modes Bug for details			123360318			Location & Sensors	Location & Sensors	0.2					
3.8.13 Unicode and Font	3.8.13	C-1-1	Test Available				android.text.cts.PlainTest	testHasGlyph()	CtsTextTestCases							Framework (others-Unicode and Font)	Framework	1					
	3.8.13	C-1-2	Test Available				android.text.cts.PaintTest	testHasGlyph()	CtsTextTestCases							Framework (others-Unicode and Font)	Framework	2					
	3.8.13	C-1-4	Test Missing									New in Q	139317147	124445210	7537140	Framework(Activity/Window Manager)	Framework	0					
	3.8.13	C-2-1	Not testable									New in Q	135777062	120955413	6940467	Framework (others-Unicode and Font)	Framework	-1					
	3.8.13	C-2-2	Not testable									New in Q	135777062	120955413	6940467	Framework (others-Unicode and Font)	Framework	-1					
	3.8.13	C-2-3	Not testable									New in Q	135777062	120955413	6940467	Framework (others-Unicode and Font)	Framework	-1					
3.8.14.Multi-windows	3.8.14	C-1-1	Test Available				android.server.am.*	android.server.am.*	CtsActivityManagerDeviceTestCases							Framework(Activity/Window Manager)	Framework	2					
	3.8.14	C-1-2	Test Available				anroid.server.am.*	android.server.am.*	CtsActivityManagerDeviceTestCases							Framework (Input)	Framework	1					
	3.8.14	C-1-3	Test Available				android.server.am.ActivityManagerPinnedStackTests	testMinimumDeviceSize	CtsServicesHostTestCases							Framework(Activity/Window Manager)	Framework	2					
	3.8.14	C-2-1	Test Missing							No Traction			131847802			Framework(Activity/Window Manager)	Framework	0					
	3.8.14	C-2-2	Not testable													Framework(Activity/Window Manager)	Framework	-1					
	3.8.14	C-2-3	Test Available				android.server.cts.ActivityAndWindowManagerState	assertValidBounds	CtsServicesHostTestCases CtsWindowManagerDeviceTestCases							Framework(Activity/Window Manager)	Framework	2					
	3.8.14	C-3-1	Test Available				android.app.cts.PipActivityTest	testLaunchPipActivity	CtsAppTestCases							Framework(Activity/Window Manager)	Framework	2					
	3.8.14	C-3-2	Not testable													Framework(Activity/Window Manager)	Framework	-1					
	3.8.14	C-3-3	Test Available				android.server.cts.ActivityManagerDockedStackTests	testEnterPipAspectRatioMin testEnterPipAspectRatioMax	CtsServicesHostTestCases							Framework(Activity/Window Manager)	Framework	2					
	3.8.14	C-3-4	Test Available				andriod.server.cts.ActivityManagerPinnedStackTests	testWindowButtonEnterPip	CtsServicesHostTestCases							Framework(Activity/Window Manager)	Framework	2					
	3.8.14	C-3-5	Not testable													Framework(Activity/Window Manager)	Framework	-1					
	3.8.14	C-3-6	Test Missing										131847802			Framework(Activity/Window Manager)	Framework	0					
	3.8.15	C-1-2	Test Available				android.server.wm.DisplayCutoutTests	android.server.wm.DisplayCutoutTests.*	CtsDisplayTestCases							Framework(Activity/Window Manager)	Framework	2					
	3.8.15	C-1-3	Test Available				android.server.wm.DisplayCutoutTests	android.server.wm.DisplayCutoutTests.*	CtsDisplayTestCases							Framework(Activity/Window Manager)	Framework	2					
	3.8.15	C-1-4	Test Available				android.server.wm.DisplayCutoutTests	android.server.wm.DisplayCutoutTests.*	CtsDisplayTestCases							Framework(Activity/Window Manager)	Framework	2					
3.8.15 Display Cutout	3.8.15	C-1-5																					
	3.8.16	H-1-1																					
	3.8.16	H-1-2																					
	3.8.16	H-1-3																					
	3.8.16	H-1-4																					
	3.8.16	H-2-1																					
	3.8.16	H-2-2																					
3.8.2 Widgets	3.8.2	C-1-1	Test Available				android.appwidget.cts.*	public void .*	CtsAppWidgetTestCases							Launcher	Launcher	2					
	3.8.2	C-1-2	Test Available				com.android.cts.verifier.widget.WidgetTestActivity	com.android.cts.verifier.widget.WidgetTestActivity.*	CtsVerifierWidgetTest							Launcher	Launcher	2					
	3.8.2	C-1-3	Test Available				com.android.cts.verifier.widget.WidgetTestActivity	com.android.cts.verifier.widget.WidgetTestActivity.*	CtsVerifierWidgetTest							Launcher	Launcher	2					
	3.8.2	C-2-1	Test Available				android.appwidget.cts.RequestPinAppWidgetTest	verifyIsRequestPinAppWidgetSupported	CtsAppWidgetTestCases							Launcher	Launcher	2					
	3.8.2	C-2-2	Test Available				android.appwidget.cts.RequestPinAppWidgetTest	testPinWidget_launcher1() testPinWidget_launcher2()	CtsAppWidgetTestCases							Launcher	Launcher	2					
	3.8.3	A-0-1	Manually Testable Missing Test							Notification.CarExtender APIs are tested.			77152494			System UI	System UI	0.2					
	3.8.3	H-0-1	Test Available				android.app.cts.NotificationManagerTest	testNotify()	CtsAppTestCases							System UI	System UI	2					
	3.8.3	H-0-2	Test Available				android.app.cts.NotificationManagerTest	testMediaStyle()	CtsAppTestCases							System UI	System UI	2					
	3.8.3	H-0-3	Not testable										137375441			System UI	System UI	0					
	3.8.3	H-0-4	Manually Testable Missing Test							Requires manual UI validation						System UI	System UI	0.2					
	3.8.3	H-0-5	Test Available				android.app.cts.RemoteInputTest	testRemoteInputBuilder_setChoicesOnly	CtsAppTestCases	This is testing the setChoicesApi and not if its displayed						System UI	System UI	1					
	3.8.3.1	A-0-1	Manually Testable Missing Test									New in Q	140768703	123357837	8085986	System UI	System UI	0.2					
	3.8.3.1	A-0-2	Manually Testable Missing Test									New in Q	140768703	123357837	8085986	System UI	System UI	0.2					
3.8.3. Notifications	3.8.3.1	C-1-1	Test Available				android.app.cts.NotificationChannelTest	public void.*	CtsAppTestCases							System UI	System UI	1					
	3.8.3.1	C-1-2	Test Missing										137375441			System UI	System UI	-1					
	3.8.3.1	C-1-3	Test Available				android.app.cts.NotificationManagerTest android.app.cts.NotificationChannelTest android.app.cts.NotificationTest	public void .*	CtsAppTestCases							System UI	System UI	2					
	3.8.3.1	C-1-4	Test Available				android.app.cts.NotificationManagerTest android.app.cts.NotificationChannelTest android.app.cts.NotificationTest	public void.*	CtsAppTestCases							System UI	System UI	1					
	3.8.3.1	C-1-5	Not testable							Requires  validation of UI elements in sysUI			123031181			System UI	System UI	-1					
	3.8.3.1	C-1-6	Manually Testable Missing Test							System UI Modifiable by OEMS.			123031181			System UI	System UI	0.2					
	3.8.3.1	C-2-1	Test Available				android.app.cts.NotificationTest	testMessagingStyle_historicMessage	CtsAppTestCases							System UI	System UI	1					
	3.8.3.1	C-3-1	Manually Testable Missing Test							The API is tested.CTS-V test required to verify the requirement as stated			137375441			System UI	System UI	0.2					
	3.8.3.1	C-3-2	Not testable							The API is tested in NotificationManagerTests						System UI	System UI	-1					
3.8.3.2 Notification Listener Service	3.8.3.2	C-0-1	Test Available				com.android.cts.verifier.notifications.NotificationListenerService	com.android.cts.verifier.notifications.NotificationListenerService.*	CTSVerifierNotification							System UI	System UI	2					
	3.8.3.2	C-0-2	Test Available				com.android.cts.verifier.notifications.NotificationListenerService	com.android.cts.verifier.notifications.NotificationListenerService.*	CTSVerifierNotification	Closest test						System UI	System UI	1					
	3.8.3.2	C-1-1	Test Available				com.android.cts.verifier.notifications.NotificationListenerService	com.android.cts.verifier.notifications.NotificationListenerService.*	CTSVerifierNotification							System UI	System UI	2					
	3.8.3.2	C-1-2	Not testable							Requires Manual Validation of UI elements in sysUI						System UI	System UI	-1					
3.8.3.3 DND(Do Not Disturb)	3.8.3.3	C-1-1	Test Available				android.systemintents.ctsTestSystemIntents	testSystemIntents()	CtsSystemIntentTestCases							System UI	System UI	1					
	3.8.3.3	C-1-3	Test Missing							Punted to R			132272452			System UI	System UI	0					
	3.8.4	A-1-1	Not testable													Framework (AI/Assistant/Speech)	Framework	-1					
	3.8.4	A-1-1	Not testable													Framework (AI/Assistant/Speech)	Framework	-1					
3.8.4 Search	3.8.4	C-1-1	Test Available				android.app.cts.SearchManagerTest	public void.*	CtsAppTestCases							Framework(API compatibility)	Framework	1					
	3.8.4	C-2-1	Not testable													Framework(API compatibility)	Framework	-1					
	3.8.4	C-2-2	Not testable													Framework (AI/Assistant/Speech)	Framework	-1					
	3.8.4	H-1-1																					
3.8.5 Alerts and Toasts	3.8.5	C-1-1	Manually Testable Missing Test													Framework (AI/Assistant/Speech)	Framework	0.2					
	3.8.5	C-1-2	Test Available				android.widget.toast.cts.LegacyToastTest	testAddTwoToastViaTestApisWhenUidFocused testAddSingleToastViaAddingWindowApisWhenUidFocused	CtsToasTestCases							System UI	System UI	2					
3.8.6 Themes	3.8.6	C-1-1	Test Available				android.theme.cts.ThemeHostTest	testThemes()	CtsThemeHostTestCases							System UI	System UI	2					
	3.8.6	C-1-2	Test Available				android.theme.cts.ThemeHostTest	testThemes()	CtsThemeHostTestCases							System UI	System UI	2					
	3.8.6	C-1-3																					
	3.8.6	C-2-1	Test Available				android.systemui.cts.LightBarTests	testLightStatusBarIcons()	CtsSystemUiTestCases							System UI	System UI	2					
	3.8.6	C-2-2	Test Available				android.systemui.ctsLIghtBarTests	testLightStatusBarIcons()	CtsSystemUiTestCases							System UI	System UI	2					
Live Wallpapers	3.8.7	C-1-1	Test Available				android.app.cts.SystemFeaturesTest	testLiveWallpaperFeature	CtsAppTestCases							Framework(API compatibility)	Framework	2					
3.8.8 Activity Switching	3.8.8	C-1-1	Other (see comment)							Looks like the CDD needs to be changed See bug				140637032		System UI	System UI	-1					
	3.8.8	C-1-2	Test Available				com.android.cts.verifier.screenpinning. ScreenPinningTestActivity	com.android.cts.verifier.screenpinning. ScreenPinningTestActivity.*	CtsVerifierScreenPinning							Framework(Settings UI)	Framework	1					
3.8.9.Input Management	3.8.9	C-1-1	Test Available				android.inputmethodservice.cts.hostside. InputMethodServiceLifecycleTest	android.inputmethodservice.cts.hostside. InputMethodServiceLifecycleTest.*	CtsInputMethodServiceHostTestCases							Framework (Input)	Framework	2					
	3.8.9	C-1-2	Test Available				android.systemintent.cts.TestSystemIntents	testSystemIntents	CtsSystemIntentTestCases							Framework (Input)	Framework	1					
	3.8.9	C-2-1	Test Available				android.content.cts.AvailableIntentsTest	testRequestSetAutofillServiceIntent	CtsContentTestCases							Framework(Settings UI)	Framework	2					
	3.9	H-1-1	Test Available				com.android.cts.verifier.managedprovisoning com.android.cts.deviceowner com.android.cts.devicepolicy	com.android.cts.verifier.managedprovisoning.* com.android.cts.deviceowner.* com.android.cts.devicepolicy.*	CtsDevicePolicyManagerTestCases							Enterprise	Enterprise	1					
	3.9	H-1-2	Test Available				android.content.pm.cts.FeatureTest	testManagedProfileSupport	CtsContentTestCases							Enterprise	Enterprise	2					
	3.9.1.1	C-1-2	Not testable													Enterprise	Enterprise	-1					
3.9.1.1 Device Owner Provisioning	3.9.1.1	C-1-3	Not testable													Framework(Activity/Window Manager)	Framework	-1					
	3.9.1.1	C-1-4	Test Available				com.android.cts.deviceowner.DeviceOwnerProvisioningTest	testProvisionDeviceOwner()	CtsDevicePolicyManagerTestCases							Enterprise	Enterprise	2					
	3.9.1.1	C-1-5	Not testable										80425698			Enterprise	Enterprise	-1					
	3.9.1.1	C-1-6	Test Available				com.android.cts.managedprofile.PreManagedProfileTest	testIsProvisioningAllowedFalse()	CtsDevicePolicyManagerTestCases							Enterprise	Enterprise	2					
	3.9.1.1	C-1-7	Test Available				com.android.cts.devicepolicy.CustomDeviceOwnerTest	testCannotSetDeviceOwnerWhenAccountPresent	CtsDevicePolicyManagerTestCases							Enterprise	Enterprise	1					
	3.9.1.1	C-2-1	Not testable													Enterprise	Enterprise	-1					
	3.9.1.1	C-2-2	Manually Testable Missing Test													Enterprise	Enterprise	0.2					
3.9.1.2 Managed Profile Provisioning	3.9.1.2	C-1-1	Test Available				com.android.cts.verifier.managedprovisioning.*	com.android.cts.verifier.managedprovisioning.*.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	2					
	3.9.1.2	C-1-2	Test Available				com.android.cts.verifier.managedprovisioning	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	1					
	3.9.1.2	C-1-3	Test Available				com.android.cts.verifier.managedprovisioning	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	2					
	3.9.11	C-1-3																					
3.9.2 Managed Profile Support	3.9.2	C-1-1	Test Available				com.android.cts.verifier.managedprovisioning.	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	2					
	3.9.2	C-1-2	Test Available				com.android.cts.verifier.managedprovisioning.	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	2					
	3.9.2	C-1-3	Test Available				com.android.cts.verifier.managedprovisioning.	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	2					
	3.9.2	C-1-4	Test Available				com.android.cts.verifier.managedprovisioning.	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	2					
	3.9.2	C-1-5	Test Available				com.android.cts.verifier.managedprovisioning.	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	2					
	3.9.2	C-1-6	Test Available				com.android.cts.verifier.managedprovisioning.	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	2					
	3.9.2	C-1-7	Test Available				com.android.cts.devicepolicy.ManagedProfileTest	runManagedContactsTest()	CtsVerifierManagedProvisioning							Enterprise	Enterprise	1					
	3.9.2	C-1-8	Test Available				com.android.cts.verifier.managedprovisioning.	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	1					
	3.9.2	C-1-9	Test Available				com.android.cts.verifier.managedprovisioning.	com.android.cts.verifier.managedprovisioning.*	CtsVerifierManagedProvisioning							Enterprise	Enterprise	1					
	3.9.2	C-2-1																					
3.9.3 Managed User Support	3.9.3	C-1-1	Manually Testable Missing Test							This cannot be automated since OEMs have freedom to implement it whichever way. See this for details. Reference: :https://b.corp.google.com/issues/73800782#comment17 The correct behavior of the API is tested .isLogoutEnabled in android.cts.deviceowner.UserSessionTest						System UI	System UI	0.2	1 because the API is tested				
	3.9.3	C-1-1	Manually Testable Missing Test													System UI	System UI	0.2	1 because the API is tested				
4.Application Packaging Compatibility	4	C-0-1	Test Available				android.appsecurity.cts.SplitTests	android.appsecurity.cts.SplitTests.*	CtsAppSecurityTestCases							Security	Security	2					
	4	C-0-2	Test Available				android.appsecurity.cts.PkgInstallSignatureVerificationTest	testInstallOriginalSucceeds	CtsAppSecurityTestCases							Security	Security	2					
	4	C-0-3	Not testable. Requires code inspection and or manual testing across a set of undefined devices.													Runtime / Languages / Libraries	Runtime	-1					
	4	C-0-5	Test Available				android.packageinstaller.externalsources.ctsExternalSourcesTest	testManageUnknownSourcesExists	CtsExternalSourcesTestCases							Security	Security	2					
	4	C-0-6	Test Available				android.packageinstaller.externalsources.cts.ExternalSourcesTest	blockedSourcesTest allowedSourcesTest defaultSourcesTest	CtsExternalSourcesTestCases							Security	Security	2					
	4	C-0-7	Test Available				android.harmfulappwarning.cts.HarmfulAppWarningTest	testNormalLaunch testLaunchAnyway testUninstall testDismissDialog	CtsHarmfulAppWarningHostTestCases							Security	Security	2					
	4	C-0-8																					
	4	C-0-9																					
5 Multimedia Compatibility	5	C-0-1	Test Available				android.media.cts.*	android.media.cts.*	CtsMediaTestCases							Media	Media	2					
	5	C-0-2	Test Available				android.media.cts.MediaCodecListTest	android.media.cts.MediaCodecListTest.*	CtsMediaTestCases							Media	Media	2					
2.5.2 MultiMedia(Auto)	5.1	A-0-1	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest android.media.cts.EncoderTest	testFindDecoderWithAacProfile testFindEncoderWithAacProfile testDecodeAacLcM4a() testAACEncoders	CtsMediaTestCases			Updated in Q		124525623	8362016	Media	Media	2					
	5.1	A-0-2	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest android.media.cts.EncoderTest	testFindDecoderWithAacProfile testFindEncoderWithAacProfile testDecodeHeAacM4a() testAACEncoders	CtsMediaTestCases			Updated in Q		124525623	8362016	Media	Media	2					
	5.1	A-0-3	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest android.media.cts.EncoderTest	testFindDecoderWithAacProfile testFindEncoderWithAacProfile testDecodeAacEldM4a() testAACEncoders	CtsMediaTestCases			Updated in Q		124525623	8362016	Media	Media	2					
2.2.2 MultiMedia(HandHeld)	5.1	H-0-1	Test Available				android.media.cts.EncoderTest android.media.cts.MediaCodecListTest	testAMRNBEncoders() testRequiredMediaCodecList()	CtsMediaTestCases	Filed bug requesting a test for decoding  AMR-NB format		Updated in Q	139770301	124525623	8362016	Media (Audio)	Media	1					
	5.1	H-0-2	Test Available				android.media.cts.EncoderTest android.media.cts.MediaCodecListTest	testAMRWBEncoders() testRequiredMediaCodecList()	CtsMediaTestCases	Filed bug requesting a test for decoding  AMR-WB format		Updated in Q	139770301	124525623	8362016	Media (Audio)	Media	1					
	5.1	H-0-3	Test Available				android.media.cts.DecoderTest android.media.cts.EncoderTest	testDecodeAacLcM4a() testAACEncoders	CtsMediaTestCases			Updated in Q		124525623	8362016	Media (Audio)	Media	2					
	5.1	H-0-4	Test Available				android.media.cts.DecoderTest android.media.cts.EncoderTest	testDecodeHeAacM4a() testAACEncoders()	CtsMediaTestCases			Updated in Q		124525623	8362016	Media (Audio)	Media	2					
	5.1	H-0-5	Test Available				android.media.cts.DecoderTest android.media.cts.EncoderTest	testDecodeAacEldM4a() testAACEncoders()	CtsMediaTestCases			Updated in Q		124525623	8362016	Media (Audio)	Media	2					
2.3.2 MultiMedia (Television)	5.1	T-0-1	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest android.media.cts.EncoderTEst	testFindEncoderWithAacProfile testFindDecoderWithAacProfile testDeocdeAacLCM4a() testAACEncoders	CtsMediaTestCases							Media	Media	2					
	5.1	T-0-2	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest android.media.cts.EncoderTEst	testFindEncoderWithAacProfile testFindDecoderWithAacProfile testDecodeHeAacM4a() testAACEncoders	CtsMediaTestCases							Media	Media	2					
	5.1	T-0-3	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest android.media.cts.EncoderTEst	testFindEncoderWithAacProfile testFindDecoderWithAacProfile testDecodeAacEldM4a testAACEncoders()	CtsMediaTestCases							Media	Media	2					
5.1.1 Audio Encoding	5.1.1	C-1-1	Test Available				android.media.cts.DecoderTest	testDecodeWav	CtsMediaTestCases							Media	Media	2					
	5.1.1	C-1-3	Test Available				android.media.cts.EncoderTest	testOpusEncoders	CtsMediaTestCases			New in Q		124525623	8362016	Media	Media	2					
	5.1.1	C-3-1	Test Available				android.media.cts.MediaCodecTest	testPCMEncoding	CtsMediaTestCases			New in Q		124525623	8362016	Media	Media	2					
	5.1.1.	C-1-2	Test Available				android.media.cts.MediaCodecTest	testFlacIdentity()	CtsMediaTestCases			New in Q		124525623	8362016	Media	Media	1					
5.1.10 Media Codec Characterization	5.1.10	C-1-1	Not testable									New in Q	139021702	123950993	6412700	Media	Media	0					
	5.1.10	C-1-2	Test Missing									New in Q	139021702	123950993	6412700	Media	Media	0					
	5.1.10	C-1-3	Test Missing									New in Q	139021702	123950993	6412700	Media	Media	0					
	5.1.10	C-1-4	Test Available				android.media.cts.MediaCodecListTest	testCodecCharacterizations	CtsMediaTestCases			New in Q		123950993	6412700	Media	Media	2					
	5.1.10	C-1-5	Test Available				android.media.cts.MediaCodecListTest	testCodecCharacterizations	CtsMediaTestCases			New in Q		123950993	6412700	Media	Media	2					
	5.1.10	C-1-6	Test Available				android.media.cts.MediaCodecListTest	testCodecCharacterizations	CtsMediaTestCases			New in Q		123950993	6412700	Media	Media	2					
	5.1.10	C-1-7	Test Available				android.media.cts.MediaCodecListTest	testCodecCharacterizations	CtsMediaTestCases			New in Q		123950993	6412700	Media	Media	2					
	5.1.10	C-1-8	Test Available				android.media.cts.MediaCodecListTest	testMediaTypeInCodecNamesIsMeaningful	CtsMediaTestCases			New in Q		123950993	6412700	Media	Media	2					
	5.1.10	C-2-1	Test Available				android.video.cts.VideoEncoderDecoderTest android.video.cts.VideoDecoderPerfTest	verifyAchievableFrameRates	CtsVideoTestCases			New in Q		123950993	6412700	Media	Media	2					
	5.1.10	C-2-2	Test Available				android.media.cts.MediaCodecListTest	testAllHardwareAcceleratedVideoCodecsPublishPerformancePoints()	CtsMediaTestCases			New in Q		123950993	6412700	Media	Media	2					
5.1.2 Audio Decoding	5.1.2	C-1-1	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest	testRequiredMediaCodecList() testDecodeAacLcM4a()	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-1-10	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest	testRequiredMediaCodecList() testDecodeOpus()	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-1-11	Test Available				android.media.cts.DecoderTestXheAac	testDecodeUsacDrcEffectTypeM4a testDecodeUsacStreamSwitchingM4a testDecodeUsacSamplingRatesM4a	CtsMediaTestCases							Media (Audio)	Media	2					
	5.1.2	C-1-2	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest	testRequiredMediaCodecList() testDecodeHeAacM4a()	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-1-3	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest	testRequiredMediaCodecList() testDecodeHeAacV2M4a()	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-1-4	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest	testRequiredMediaCodecList() testDecodeAacEldM4a()	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-1-5	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest	testRequiredMediaCodecList() testDecodeFlac()	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-1-6	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest	testRequiredMediaCodecList() testDecodeMp3Lame()	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-1-7	Not testable													Media	Media	-1					
	5.1.2	C-1-8	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest	testRequiredMediaCodecList() testDecodeVorbis()	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-1-9	Test Available				android.media.cts.MediaCodecListTest android.media.cts.DecoderTest android.media.cts.MediaCodecTest	testRequiredMediaCodecList() testDecodeWav() testFlacIdentity()	CtsMediaTestCases			Updated in Q		123959117	7247689	Media (Audio)	Media	2					
	5.1.2	C-2-1	Test Available				android.media.cts.DecoderTest	testDecodeAacLcMcM4a() testDecodeHeAacMcM4a()	CtsMediaTestCases							Media (Audio)	Media	2					
	5.1.2	C-2-2	Test Available				android.media.cts.DecoderTestAacDrc	testDecodeAacDrcFullM4a() testDecodeAacDrcHalfM4a()  testDecodeAacDrcOffM4a() testDecodeAacDrcHeavyM4a() testDecodeAacDrcClipM4a()	CtsMediaTestCases							Media (Audio)	Media	2					
	5.1.2	C-3-1	Test Available				android.media.cts.DecoderTestAacDrc	testDecodeUsacLoudnessM4a	CtsMediaTestCases							Media (Audio)	Media	2					
	5.1.2	C-3-2	Test Available				android.media.cts.DecoderTestXheAac	testDecodeUsacLoudnessM4a testDecodeUsacDrcEffectTypeM4a	CtsMediaTestCases							Media	Media	2					
	5.1.2	C-6-1	Test Available				android.medi.cts.MediaCodecTest	testPCMEncoding	CtsMediaTestCases			New in Q		124525623	6412693	Media (Audio)	Media	2					
5.1.4.Image Encoding	5.1.4	C-0-1	Test Available				android.graphics.cts.Bitmap_CompressFormatTest	testValueOf() testValues()	CtsGraphicsTestCases							Graphics	Graphics	1					
	5.1.4	C-0-2	Test Available				android.graphics.cts.Bitmap_CompressFormatTest	testValueOf() testValues()	CtsGraphicsTestCases							Graphics	Graphics	1					
	5.1.4	C-0-3	Test Available				android.graphics.cts.Bitmap_CompressFormatTest	testValueOf() testValues()	CtsGraphicsTestCases							Graphics	Graphics	1					
	5.1.4	C-1-1	Test Missing									New in Q	139371912	124525623	8362016	Graphics	Graphics	0					
5.1.5.Image Decoding	5.1.5	C-0-1	Test Available				android.graphics.cts.BitmapFactoryTest	testDecodeStream3	CtsGraphicsTestCases							Graphics	Graphics	2					
	5.1.5	C-0-2	Test Available				android.graphics.cts.BitmapFactoryTest	testDecodeStream3	CtsGraphicsTestCases							Graphics	Graphics	2					
	5.1.5	C-0-3	Test Available				android.graphics.cts.BitmapFactoryTest	testDecodeStream3	CtsGraphicsTestCases							Graphics	Graphics	2					
	5.1.5	C-0-4	Test Available				android.graphics.cts.BitmapFactoryTest	testDecodeStream3	CtsGraphicsTestCases							Graphics	Graphics	2					
	5.1.5	C-0-5	Test Available				android.graphics.cts.BitmapFactoryTest	testDecodeStream4	CtsGraphicsTestCases							Graphics	Graphics	2					
	5.1.5	C-0-6	Test Available				android.graphic.cts.BitmapFactoryTest	testDng	CtsGraphicsTestCases				115891835			Graphics	Graphics	2					
	5.1.5	C-0-7	Test Available				android.media.cts.MediaMetadataRetrieverTest	testGetImageAtIndex()	CtsMediaTestCases				120630303			Media	Media	2					
	5.1.5	C-1-1	Test Missing									New in Q	139371912	124525623	8362016	Media 	Media	0					
Image Codec Details	5.1.6	C-1-1	Test Available				andriod.media.cts.ImageReaderDecoderTest	android.media.cts.ImageReaderDecoderTest.*	CtsMediaTestCases			New in Q		124525623	6412693	Media	Media	1					
	5.1.6	C-1-3	Test Missing									New in Q	139502967	124525623	8362016	Media	Media	0					
5.1.7.Video Codecs	5.1.7	C-1-1	Not testable													Media	Media	-1					
	5.1.7	C-1-2	Test Available				android.media.cts.MediaCodecCapabilitiesTest	testAllNonTunneledVideoCodecs SupportFlexibleYUV	CtsMediaTestCases			New in Q		124525623	6412693	Media	Media	2					
	5.1.7	C-1-3	Test Available				android.medi.cts.EncodeDecodeTest	testEncodeDecodeVideoFromBufferToBuffer* testEncodeDecodeVideoFromBufferToSurface* testEncodeDecodeVideoFromSurfaceToSurface*	CtsMediaTestCases			New in Q		124525623	8362016	Media	Media	2					
	5.1.7	C-1-5	Test Missing									New in Q	139502967	124525623	6412693	Media	Media	0					
	5.1.7	C-1-6	Test Available				android.media.cts.MediaCoddecTest	testFlacIdentity	CtsMediaTestCases			New in Q		124525623	8362016	Media	Media	1					
	5.1.7	C-2-1	Test Missing							Last updated 06/03/2019			80553720			Media	Media	0					
	5.1.7	C-3-1	Test Available				android.media.cts.VideoEncoderTest	testGoogH265Flex360pWithIntraRefresh().*	CtsMediaTestCases							Media	Media	2					
	5.1.7	C-4-1	Test Available				android.media.cts.ImageReaderDecoderTest	android.media.cts.ImageReaderDecoderTest.*	CtsMediaTestCases			New in Q		124525623	8362016	Media	Media	1					
	5.1.7	C-4-2	Test Available				android.media.cts.ImageReaderDecoderTest	android.media.cts.ImageReaderDecoderTest.*	CtsMediaTestCases			New in Q		124525623	8362016	Media	Media	1					
5.1.9 Media Codec Security	5.1.9	C-1-1	Not testable									New in Q		124333998	6412699	Media	Media	0					
	5.1.9	C-2-1	Test Missing									New in Q	138598083	124333998	6412699	Media	Media	0					
	5.1.9	C-2-2	Test Missing									New in Q	138598083	124333998	6412699	Media	Media	0					
	5.1.9	C-3-1	Test Missing									New in Q	138598083	124333998	6412699	Media	Media	0					
