Section	section_id	req_id	Test Availability	Annotation?	New Req for S?	New CTS for S?	class_def	method	module	Comment(internal) e.g. why a test is not possible	Comment (external)	New vs Updated(Q)	CTS Bug Id	CDD Bug Id	CDD CL	Area	Shortened	Test Level		external version			
9.1  . Device Integrity	9.1	C-3-1	Test Available		Yes		com.google.android.cts.settings.PrivacyDeviceOwnerTest	testNonDeviceOwnerWithoutInfo	CtsSettingsHostTestCases														
9.1  . Permissions	9.1	C-4-1	Test Available		Yes		android.contentcaptureservice.cts.WhitelistTest	ServiceTestRule	CtsContentCaptureServiceTestCases														
9.1  . Permissions	9.1	C-4-2	Test Available		Yes		android.permission2.cts.IntelligenceRolesPolicyTest	testNoInternetPermissionRequested	CtsPermission2TestCases														
9.1  . Permissions	9.1	C-4-3	Test Available		Yes		android.permission5.cts.RuntimePermissionsAppOpTrackingTest.kt	setUpTest	CtsPermission5TestCases														
9.5  . Multi	9.5	C-2-1	Test Available		Yes		android.appsecurity.cts.ExternalStorageHostTest	testMultiUserStorageIsolated	CtsAppSecurityHostTestCases														
9.5  . Multi	9.5	C-2-2	Other (see comment)		Yes		android.appsecurity.cts.AppDataIsolationTests	testAppUnableToAccessOtherUserAppDataDirApi29	CtsAppSecurityHostTestCases	This applies to api 29 Android 10, the CDD requirement may apply to that API though	tbd?												
9.5  . Multi	9.5	C-3-2	Other (see comment)		Yes		android.host.multiuser.CreateUsersPermissionTest	testCanCreateRestrictedUser	CtsMultiUserHostTestCases	Test does not reference "work" profile, could be testing by id?	tbd ?												
9.5  . Multi	9.5	C-3-3	Test Available		Yes		com.android.cts.multiuserstorageapp.MultiUserStorageTest	testUserIsolation	CtsMultiUserStorageApp														
9.5  . Multi	9.5	C-3-4	Test Available		Yes		com.android.cts.deviceandprofileowner.AllowedAccountManagementTest	testUserRestriction_profileAndDeviceOwnerCanAddAndRemoveAccount															
2.2.5  . Security Model	9.8	H-1-1	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest	testHotwordDetectionService_onDetect_fromExternalSource	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-10	Test Available, Maybe Incomplete		Yes		android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest	testHotwordDetectionService_onDetect_fromMic	CtsVoiceInteractionTestCases	Determining if the ui has qualitative mic info could does not seem like something that can be automated													
2.2.5  . Security Model	9.8	H-1-11	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectedResultTest	testHotwordDetectedResult_bundleExceedMaxBundleSize	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-12	Test Available		Yes		android.voiceinteraction.cts.VoiceInteractionRoleTest	testAssistRole_hasRecognitionService	CtsVoiceInteractionTestCases	Unsure if this covers the test case. Hard to tell because don't see explicit mention of the reason for various roles, there are roles that have different permissions.													
2.2.5  . Security Model	9.8	H-1-13	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceBasicTest	testHotwordDetectionService_concurrentCapture	CtsVoiceInteractionTestCases	Unsure if this covers the test case. Hard to tell because though there is the ability to test shutdown and restart is this 30 min timing being tested?	tbd												
2.2.5  . Security Model	9.8	H-1-14	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest	testHotwordDetectionService_onDetect_fromMic	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-2	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceBasicTest	testHotwordDetectionService_onDetectFromDsp_success testHotwordDetectionService_onDetectFromDsp_rejection	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-3	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectedResultTest	testHotwordDetectedResult_setInvalidHotwordDurationMillis	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-4	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectedResultTest	testHotwordDetectedResult_setInvalidHotwordOffsetMillis	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-5	Other (see comment)		Yes		android.voiceinteraction.cts.VoiceInteractionTest	testAll	CtsVoiceInteractionTestCases	The test involve multiple files so can not be represented: android.voiceinteraction.service.MainHotwordDetectionService													
2.2.5  . Security Model	9.8	H-1-6	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectedResultTest	testHotwordDetectedResult_totalSize	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-8	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceNonExistenceTest	testHotwordDetectionService_noHotwordDetectionComponentName_triggerFailure	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-9	Test Available		Yes		android.cts.statsdatom.appops.AppOpsTests	isNotNull	CtsStatsdAtomHostTestCases														
2.2.5  . Security Model	9.8	H-2-1	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceBasicTest	testHotwordDetectionService_validHotwordDetectionComponentName_triggerSuccess	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-2-3	Test Available		Yes		android.voiceinteraction.cts.HotwordRejectedResultTest	testHotwordRejectedResultParcelizeDeparcelize	CtsVoiceInteractionTestCases														
3.5.1  . Application Restriction	3.5.1	C-1-10	Other (see comment)		Yes		android.app.cts.ActivityManagerProcessStateTest	testBgRestrictedForegroundService	CtsAppTestCases	Once b/185181884 is fixed then a test could possible test whether the 2 hour minimum is met.	b/185181884												
3.5.1  . Application Restriction	3.5.1	C-1-9	Other (see comment)		Yes		android.app.usage.cts.UsageStatsTest	testUserForceIntoRestricted	CtsUsageStatsTestCases	There is no indication of an list of "all" restriction events being exercised and checking if they show up in UsageStats. If it does exists it is a good example of annotation being important.													
3.5.1  . Application Restriction	3.5.1	C-2-1	Other (see comment)		Yes		android.app.cts.backgroundrestrictions.MyReceiver	getContext	CtsBackgroundRestrictionsTestCases	All of the features and rules of https://source.android.com/devices/tech/power/app_mgmt are not represented in these tests	tbd												
3.5.2  . Application Hibernation	3.5.2	C-1-1	Test Missing		Yes					The tests seem to be missing a code search shows no CTS files with "hibernation AND restrict"	tbd												
3.5.2  . Application Hibernation	3.5.2	C-1-2	Test Missing		Yes			myUserId		The tests seem to be missing a code search shows no CTS files with "hibernation AND restrict"	tbd												
3.5.2  . Application Hibernation	3.5.2	C-1-3	Test Missing		Yes					The tests seem to be missing a code search shows no CTS files with "hibernation AND restrict"	tbd												
3.5.2  . Application Hibernation	3.5.2	C-1-4	Test Missing		Yes		android.cts.statsdatom.appstart.AppStartStatsTests	testHibernatingAppStartOccurred	CtsStatsdAtomHostTestCases	The tests seem to be missing a code search shows no CTS files with "hibernation AND restrict"	tbd												
3.8.13  . Unicode and Font	3.8.13	C-1-3	Test Available		Yes		android.graphics.fonts.SystemEmojiTest	isNotNull	CtsGraphicsTestCases														
3.9.1.1	3.9.1.1	C-1-8	Test Available		Yes		com.android.compatibility.common.util.devicepolicy.provisioning.SilentProvisioningTestManager	getReceviedProfileProvisionedIntent															
3.9.1.1  . The	3.9.1.1	C-1-9	Test Missing		Yes					ADMIN_POLICY_COMPLIANCE is not found in code search	tbd												
2.5.3  . Software	3.9.3	A-1-1	Test Missing		Yes		android.car.cts.CarHostJUnit4TestCase	isEmpty	CtsCarHostTestCases	All of the lifecycle properties do not appear in one test. INITIAL_USER_INFO can not be found in CTS at all.	tbd												
2.2.1  . Hardware	7.1.1.1	H-0-2	Test Available	Yes	Yes		android.mediapc.cts.PerformanceClassTest	testMinimumMemory()	CtsMediaPerformanceClassTestCases														
2.2.7.3  . Hardware	7.1.1.3	H-1-1	Test Available	Yes	Yes		android.mediapc.cts.PerformanceClassTest	testMinimumMemory()	CtsMediaPerformanceClassTestCases														
2.2.7.3  . Hardware	7.1.1.3	H-2-1	Test Available	Yes	Yes		android.mediapc.cts.PerformanceClassTest	testMinimumMemory()	CtsMediaPerformanceClassTestCases														
2.5.1  . Hardware	7.1.4.1	A-0-1	Test Available		Yes		android.dpi.cts.ConfigurationTests	testAutomotiveMinimumScreenSize	CtsDpiTestCases	section id changed from 7.1.1.1 in CDD-11													
2.5.1  . Hardware	7.1.4.1	A-0-2	Test Available		Yes		cts/tests/tests/graphics/jni/VulkanPreTransformTestHelpers.cpp			section id changed from 7.1.1.1 in CDD-11													
2.5.1  . Hardware	7.1.4.1	A-0-3	Test missing		Yes																		
	7.1.4.2	C-1-11			Yes		android.graphics.cts.VulkanFeaturesTest	getBestDevice	CtsGraphicsTestCases					185918286	385175721								
7.3.2  . Magnetometer	7.3.2	C-1-10	Test Available		Yes		android.hardware.cts.SensorSupportTest	testSupportsMagneticFieldUncalibrated	CtsSensorTestCases														
7.3.8  . Proximity Sensor	7.3.8	C-1-3	Test Missing		Yes		android.hardware.cts.SensorParameterRangeTest	testProximityFifoLength	CtsSensorTestCases	No test for the proximity sensors range and resolution found.	tbd												
7.3.8  . Proximity Sensor	7.3.8	C-1-4	Other (see comment)		Yes		android.hardware.cts.SensorParameterRangeTest	testProximityFifoLength	CtsSensorTestCases	No test for the proximity sensors range and resolution found.	tbd												
7.4.1  . Telephony	7.4.1	C-4-1	Test Available	Yes	Yes		android.telephony.cts.TelephonyManagerTest	testIWlanServiceState()	CtsTelephonyTestCases														
7.4.1  . Telephony	7.4.1	C-5-1	Test Available		Yes		android.telephony.ims.cts.ImsServiceTest	testCarrierImsServiceBindRcsChangeToMmtel	CtsTelephonyTestCases														
7.4.1  . Telephony	7.4.1	C-5-2	Test Available		Yes		android.telephony.ims.cts.SipDelegateManagerTest	connectTestImsServiceWithSipTransportAndConfig	CtsTelephonyTestCases														
7.4.2  . IEEE 802.11	7.4.2	C-1-10	Test Available		Yes		android.net.wifi.cts.ConnectedNetworkScorerTest	isNotNull	CtsWifiTestCases														
7.4.2  . IEEE 802.11	7.4.2	C-1-7	Test Available		Yes		android.net.wifi.cts.WifiManagerTest	testIsApMacRandomizationSupported	CtsWifiTestCases														
7.4.2  . IEEE 802.11	7.4.2	C-1-8	Test Available		Yes		android.net.wifi.cts.WifiManagerTest	testIsConnectedMacRandomizationSupported	CtsWifiTestCases														
7.4.2  . IEEE 802.11	7.4.2	C-1-9	Test Available		Yes		android.net.wifi.cts.ConnectedNetworkScorerTest	testWifiUsabilityStatsEntry	CtsWifiTestCases	Hard to tell whether randomness is being tested. Example of lack of certainty.	tbd												
7.4.2.4  . Wi	7.4.2.4	C-1-4	Test Available		Yes		android.net.wifi.cts.WifiManagerTest	testPasspointCapability	CtsWifiTestCases														
