Section ,id,req_id,status,class_def,method,module,Comment,Bug
2.2.2 MultiMedia-HandHeld,5.3,H-0-4,Test Available,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testCodecBasicVP8",CtsMediaTestCases,,
2.2.2 MultiMedia-HandHeld,5.3,H-0-5,Test Available,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testCodecBasicVP9",CtsMediaTestCases,,
Software-HandHeld,3.2.3.1,H-0-1,Test Available,com.android.cts.documentclient,"testOpenSimple
testCreateNew
testGetContent
testTransferDocument
testFindDocumentPathInScopedAccess",CtsAppSecurityHostTestCases,,
Software-HandHeld,3.4.1,H-0-1,Test Available,android.webkit.cts,.*,CtsWebkitTestCases,,
Software-HandHeld,3.4.2,H-0-1,Not testable,,,,,http://b/110346722
Software-HandHeld,3.8.3,H-0-1,Test Available,android.app.cts.NotificationManagerTest,testNotify(),CtsAppTestCases,,
Software-HandHeld,3.8.3,H-0-2,Test Available,android.app.cts.NotificationManagerTest,testMediaStyle(),CtsAppTestCases,,
Software-HandHeld,3.8.3,H-0-3,Test Available,com.android.notification.functional.HeadsUpNotificationsTests,com.android.notification.functional.HeadsUpNotificationsTests.*,CtsNotificationTestCases,,
Software-HandHeld,3.8.3,H-0-4,Not testable,,,,Requires manual UI validation,http://b/123031181
Software-HandHeld,3.8.3,H-0-5,Test Available,android.app.cts.RemoteInputTest," testRemoteInputBuilder_setChoicesOnly
",CtsAppTestCases,"This is testing the setChoicesApi and not necessarily if its
displayed
",
Software-HandHeld,3.8.10,H-1-1,Not testable,,,,,http://b/77817822
Software-HandHeld,3.9,H-1-1,Test Available,"com.android.cts.verifier.managedprovisoning.*
com.android.cts.deviceowner.*
com.android.cts.devicepolicy.*",.*,CtsDevicePolicyManagerTestCases,,
Software-HandHeld,3.9,H-1-2,Test Available,com.android.cts.devicepolicy.*,public void *,CtsDevicePolicyManagerTestCases,Device policy test cases are gated by this flag,
Software-HandHeld,3.10.,H-0-1,Test Available,android.accessibilityservice.cts.*,public void*,CtsAccessibilityTestCases,,
Software-HandHeld,3.11,H-0-1,Test Available,"android.speech.tts.cts.TextToSpeechServiceTest
android.speech.tts.cts.TextToSpeechTest","assertContainsEngine()
testGetEnginesIncludesMock()",CtsSpeechTestCases,,
Software-HandHeld,3.15,H-1-1,Test Available,com.android.cts.verifier.companion.CompanionDeviceTestActivity,public void.*,CtsVerifierCompanionDeviceTestCase,,
2.2.4 Performance And Power-HandHeld,8.1,H-0-1,Test Available,com.android.server.cts.GraphicsStatsValidationTest.java,testBasicDrawFrame(),CtsIncidentHostTestCases,,
2.2.4 Performance And Power-HandHeld,8.1,H-0-2,Test Available,android.ui.cts.ScrollingTest,testFullScrolling(),CtsUiDeviceTestCases,,
2.2.4 Performance And Power-HandHeld,8.1,H-0-3,Test Available,android.taskswitching.control.cts.TaskSwitchingDeviceTest.java,testMeasureTaskSwitching(),CtsUiHostTestCases,,
2.2.4 Performance And Power-HandHeld,8.2,H-0-1,Test Available,android.filesystem.cts.SequentialRWTest,testSingleSequentialWrite(),CtsFileSystemTestCases,,
2.2.4 Performance And Power-HandHeld,8.2,H-0-2,Test Available,android.filesystem.cts.RandomRWTest,testRandomUpdate(),CtsFileSystemTestCases,,
2.2.4 Performance And Power-HandHeld,8.2,H-0-3,Test Available,android.filesystem.cts.SequentialRWTest,testSingleSequentialRead(),CtsFileSystemTestCases,,
2.2.4 Performance And Power-HandHeld,8.2,H-0-4,Test Available,android.filesystem.cts.RandomRWTest,testRandomRead(),CtsFileSystemTestCases,,
2.2.4 Performance And Power-HandHeld,8.3,H-1-1,Manually Testable Missing Test,,,,Can be verified manually with a CTS-V test,http://b/123045487
2.2.4 Performance And Power-HandHeld,8.3,H-1-2,Test Available,android.systemintents.ctsTestSystemIntents,testSystemIntents,CtsSystemIntentTestCases,,
2.2.4 Performance And Power-HandHeld,8.4,H-0-1,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
2.2.4 Performance And Power-HandHeld,8.4,H-0-2,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
2.2.4 Performance And Power-HandHeld,8.4,H-0-3,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testThreadCupTimeNanos(),CtsDumpSysHostTestCases,,
2.2.4 Performance And Power-HandHeld,8.4,H-0-4,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
2.2.4 Performance And Power-HandHeld,8.4,H-1-1,Test Available,android.content.cts.AvailableIntentsTest,testPowerUsageSummarySettings,CtsContentTestCases,,
2.2.5 Security Model-HandHeld,9.1,H-0-1,Test Available,android.content.cts.AvailableIntentsTest,testUsageAccessSettings,CtsContentTestCases,,http://b/74607925
2.2.5 Security Model-HandHeld,9.11,H-1-1,Not testable,,,,,http://b/124075563
2.2.5 Security Model-HandHeld,9.11,H-1-2,Not testable,,,,,http://b/124075563
2.3.1 Hardware-Television,7.2.2,T-0-1,Test Available,android.hardware.input.cts.tests*,android.hardware.input.cts.tests,CtsHardwareTestCases,,
2.3.1 Hardware-Television,7.2.3,T-0-1,Not testable,,,,,http://b/116246255
2.3.1 Hardware-Television,7.2.3,T-0-2,Test Available,android.view.cts.LongPressBackTest,testAppIsNotDismissed(),CtsViewTestCases,,
2.3.1 Hardware-Television,7.2.6.1,T-0-1,Test Available,android.app.cts.SystemFeaturesTest,testGamepadFeature(),CtsAppTestCases,,http://b/129089802
2.3.1 Hardware-Television,7.3.4,T-1-1,Test Available,android.hardware.sensor.cts.SingleSensorTests,testGyroscope_100hz,CtsSensorTestCases,,
2.3.1 Hardware-Television,7.4.3,T-0-1,Test Available,"android.bluetooth.cts.BasicAdapterTest
android.bluetooth.cts.BluetoothLeScanTest
android.bluetooth.cts.ScanRecordTest",.*,CtsBluetoothTestCases,,
2.3.1 Hardware-Television,7.5.3,T-1-1,Not testable,,,,,
2.3.1 Hardware-Television,7.6.1,T-1-1,Test Available,android.hardware.cts.LowRamDeviceTest,assertMinMemoryMb,CtsHardwareTestCases,,
2.3.1 Hardware-Television,7.6.1,T-2-1,Test Available,android.hardware.cts.LowRamDeviceTest,asserMinMemoryMb,CtsHardwareTestCases,,
2.3.1 Hardware-Television,7.8.2,T-0-1,Test Available,android.app.cts.SystemFeaturesTest,testAudioFeature,CtsAppTestCases,,http://b/110952696
2.3.2 MultiMedia-Television,5.1,T-0-1,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.1,T-0-2,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.1,T-0-3,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.2,T-0-1,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.2,T-0-2,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.3.3,T-0-1,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,Wrong CDD numbering,http://b/135482497
2.3.2 MultiMedia-Television,5.3.4,T-0-2,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,Wrong CDD numbering,
2.3.2 MultiMedia-Television,5.3.5,T-0-3,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,Wrong CDD numbering,
2.3.2 MultiMedia-Television,5.3.6,T-0-4,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,Wrong CDD numbering,
2.3.2 MultiMedia-Television,5.3.7,T-0-5,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,Wrong CDD numbering,
2.3.2 MultiMedia-Television,5.3.4.4,T-1-1,Test Available,android.media.cts.MediaCodecCapabilitiesTest,testH264DecoderProfileAndLevel(),CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.3.4.4,T-1-2,Test Available,android.media.cts.DecoderTest,testH264Decode60fps1920x1080tv(),CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.3.4.4,T-1-3,Test Available,android.media.cts.MediaCodecCapabilitiesTest,testH264DecoderProfileAndLevel(),CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.3.5.4,T-1-1,Test Available,android.media.cts.MediaCodecCapabilitiesTest,testH265DecoderProfileAndLevel,CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.3.5.5,T-2-1,Test Available,android.media.cts.MediaCodecCapabilitiesTest,testH265DecoderProfileAndLevel,CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.3.6.4,T-1-1,Test Available,android.media.cts.DecoderTest,testVp8Decode60fps1920x1080,CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.3.7.4,T-1-1,Test Available,android.media.cts.MediaCodecCapabilitiesTest,testVp9DecoderCapabilitiesOnTv,CtsMediaTestCases,,
,5.3.7.5,T-2-1,Test Available,android.media.cts.MediaCodecCapabilitiesTest,testVp9DecoderCapabilitiesOnTv,CtsMediaTestCases,,
2.3.2 MultiMedia-Television,5.5.3,T-0-1,Not testable,,,,,http://b/77143742
2.3.2 MultiMedia-Television,5.8,T-0-1,Not testable,,,,,http://b/77143742
2.3.2 MultiMedia-Television,5.8,T-1-1,Not testable,,,,,http://b/77143742
2.3.2 MultiMedia-Television,5.8,T-2-1,Not testable,,,,,http://b/77143742
2.3.3 Software-Television,3.4.1,T-0-1,Test Available,android.webkit.cts.*,public void. *,CtsWebkitTestCases,,
2.3.3 Software-Television,3.8.10,T-1-1,Not testable,,,,,http://b/77143742
2.3.3 Software-Television,3.10.,T-0-1,Test Available,android.accessibilityservice.cts.*,public void.*,CtsAccessibilityTestCases,,
2.3.3 Software-Television,3.11,T-1-1,Test Available,"android.speech.tts.cts.TextToSpeechServiceTest
android.speech.tts.cts.TextToSpeechTest","assertContainsEngine()
testGetEnginesIncludesMock()",CtsSpeechTestCases,,
2.3.3 Software-Television,3.12,T-0-1,Test Available,android.media.tv.cts.*,android.media.tv.cts.*,CtsTvTestCases,,
2.3.4 Performance And Power-Television,8.1,T-0-1,Test Available,com.android.server.cts.GraphicsStatsValidationTest,testBasicDrawFrame(),CtsIncidentHostTestCases,,
2.3.4 Performance And Power-Television,8.2,T-0-1,Test Available,android.filesystem.cts.SequentialRWTest,testSingleSequentialWrite(),CtsFileSystemTestCases,,
2.3.4 Performance And Power-Television,8.2,T-0-2,Test Available,android.filesystem.cts.RandomRWTest,testRandomUpdate(),CtsFileSystemTestCases,,
2.3.4 Performance And Power-Television,8.2,T-0-3,Test Available,android.filesystem.cts.SequentialRWTest,testSingleSequentialRead(),CtsFileSystemTestCases,,
2.3.4 Performance And Power-Television,8.2,T-0-4,Test Available,android.filesystem.cts.RandomRWTest,testRandomRead(),CtsFileSystemTestCases,,
2.3.4 Performance And Power-Television,8.3,T-1-1,Manually Testable Missing Test,,,,,http://b/123045487
2.3.4 Performance And Power-Television,8.3,T-1-2,Test Available,android.systemintents.cts.TestSystemIntents,testSystemInents,CtsSystemIntentTestCases,,http://b/76915946
2.3.4 Performance And Power-Television,8.4,T-0-1,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
2.3.4 Performance And Power-Television,8.4,T-0-2,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
2.3.4 Performance And Power-Television,8.4,T-0-3,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testThreadCupTimeNanos(),CtsDumpSysHostTestCases,,
2.3.4 Performance And Power-Television,8.4,T-0-4,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
Hardware-Watch,7.1.1.1,W-0-1,Test Available,android.dpi.cts.ConfigurationTest,testScreenConfiguration(),CtsDpiTestCases,,
,7.4.3,W-0-1,Test Available,"android.bluetooth.cts.BasicAdapterTest
android.bluetooth.cts.BluetoothLeScanTest
android.bluetooth.cts.ScanRecordTest",public void. *,CtsBluetoothTestCases,,
,7.6.1,W-0-1,Not testable,,,,,http://b/110960466
,7.8.1,W-0-1,Not testable,,,,"Consider changing the language Must include a microphone
and declare the android.hardware.microphone feature",
2.4.3 Software-Watch,3,W-0-1,Not testable,,,,,
,3,W-0-2,Test Available,android.app.cts.UiModeManagerTest,testUiMode(),CtsAppTestCases,,
,3.10.,W-1-1,Test Available,android.accessibilityservice.cts.AccessibilityEndToEndTest,public void .*,CtsAccessibilityServiceTestCases,,
,3.11,W-0-1,Test Available,"android.speech.tts.cts.TextToSpeechServiceTest
android.speech.tts.cts.TextToSpeechTest",public void .*,CtsSpeechTestCases,,
,8.4,W-0-1,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,public void .*,CtsDumpsysTestCases,,
,8.4,W-0-2,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,public void .*,CtsDumpsysTestCases,,
,8.4,W-0-3,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,public void .*,CtsDumpsysTestCases,,
,8.4,W-0-4,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
2.5.1 Hardware-Automotive,7.1.1.1,A-0-1,Test Available,android.dpi.cts.ConfigurationTests,testScreenConfiguration,CtsDpiTestCases,,http://b/119305587
,7.1.1.1,A-0-2,Test Available,android.dpi.cts.ConfigurationTests,testAutomotiveMinimumScreenSize,CtsDpiTestCases,,http://b/77152494
,7.2.3,A-0-1,Not testable,,,,,http://b/77152494
,7.2.3,A-0-2,Test Available,android.view.cts.LongPressBackTest,testAppIsNotDismissed(),CtsViewTestCases,,
,7.3.1,A-1-1,Test Available,android.hardware.cts.SingleSensorTests,testAccelerometer_100hz(),CtsSensorTestCases,,
,7.3.1,A-1-2,Test Missing,,,,,http://b/77152494
