Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,full_key,key_as_number
,3.8.16,H-1-2,H-1-2,Test Available,,Yes,,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,cannotKeepAndTruncateNewLines(),CtsCameraTestCases,,,,,,,,,
,3.8.16,H-1-3,H-1-3,Test Available,,Yes,,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,testConstructor(),CtsCameraTestCases,,,,,,,,,
,3.8.16,H-1-4,H-1-4,Test Available,,Yes,,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,testConstructor(),CtsCameraTestCases,,,,,,,,,
,3.8.16,H-2-1,H-2-1,,,Yes,,,,,,,,,,,,,
,3.8.16,H-2-2,H-2-2,,,Yes,,,,,,,,,,,,,
,3.9.11,C-1-3,C-1-3,,,Yes,,,,,,,,,,,,,
,3.9.2,C-2-1,C-2-1,Test Available,,Yes,,android.telephony.embms.cts.MbmsDownloadCallbackTest,getResources(),CtsTelephonyTestCases,,,,,,,,,
,4,C-0-8,C-0-8,Test Available,,Yes,,android.graphics.cts.PaintTest,Shader(),CtsGraphicsTestCases,,,,,,,,,
,4,C-0-9,C-0-9,Test Available,,Yes,,android.graphics.cts.PaintTest,testGetRunCursor_CURSOR_AT_OR_AFTER(),CtsGraphicsTestCases,,,,,,,,,
,6.1,C-0-10,C-0-10,Test Available,Yes,Yes,,android.hardware.cts.LowRamDeviceTest,testGetRightPadding(),CtsHardwareTestCases,,,,,148611927,12483943,,,
,6.1,C-0-11,C-0-11,Test Available,,Yes,,android.hardware.cts.LowRamDeviceTest,testGetRightPadding(),CtsHardwareTestCases,,,,,,,,,
,6.1,C-3-1,C-3-1,Test Available,,Yes,,android.hardware.cts.LowRamDeviceTest,testGetRightPadding(),CtsHardwareTestCases,,,,,,,,,
,6.1,C-3-2,C-3-2,Test Available,,Yes,,android.hardware.cts.LowRamDeviceTest,testGetRightPadding(),CtsHardwareTestCases,,,,,,,,,
,6.1,C-4-1,C-4-1,Test Available,,Yes,,android.hardware.cts.LowRamDeviceTest,testGetRightPadding(),CtsHardwareTestCases,,,,,,,,,
,6.1,C-5-1,C-5-1,Test Available,,Yes,,android.hardware.cts.LowRamDeviceTest,testGetRightPadding(),CtsHardwareTestCases,,,,,,,,,
,7.1.1.1,C-2-1,C-2-1,,,Yes,,,,,,,,,,,,,
,7.1.1.1,C-3-1,C-3-1,Test Available,,Yes,,android.incrementalinstall.cts.IncrementalFeatureTest,hasTuner(),,,,,,,,,,
,7.1.1.1,H-1-1,H-1-1,Test Available,,Yes,,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,nullString(),CtsCameraTestCases,,,,,,,,,
,7.1.1.1,H-2-1,H-2-1,,,Yes,,,,,,,,,,,,,
,7.1.4.2,C-1-10,C-1-10,Test Available,,Yes,,android.graphics.cts.VulkanDeqpLevelTest,testUnpremul(),CtsGraphicsTestCases,,,,,,,,,
,7.1.4.2,C-1-8,C-1-8,Test Available,,Yes,,android.graphics.cts.VulkanDeqpLevelTest,testUnpremul(),CtsGraphicsTestCases,,,,,,,,,
,7.1.4.2,C-1-9,C-1-9,Test Available,,Yes,,android.graphics.cts.VulkanDeqpLevelTest,testUnpremul(),CtsGraphicsTestCases,,,,,,,,,
,7.1.4.6,H-0-1,H-0-1,Test Available,,Yes,,android.graphics.cts.BitmapTest,PixelFormat(),CtsGraphicsTestCases,,,,,,,,,
