"CTS Bug Id"	"Annotation?"	"module"	"full_key"	"New Req for S?"	"Area"	"Comment(internal) e.g. why a test is not possible"	"Test Availability"	"New CTS for S?"	"class_def"	"Section"	"req_id"	"method"	"section_id"	"Shortened"	"CDD Bug Id"
""	""	"CtsWifiTestCases"	"7.4.2.4/C-1-6"	""	""	""	"Test Available"	""	"android.net.wifi.passpoint.cts.PasspointConfigurationTest"	"7.4.2.4  . Wi"	"C-1-6"	"testSetGetDecoratedIdentityPrefix"	"7.4.2.4"	""	""
""	""	"CtsWifiTestCases"	"7.4.2.4/C-1-8"	""	""	""	"Test Available"	""	"android.net.wifi.cts.WifiManagerTest"	"7.4.2.4  . Wi"	"C-1-8"	"testAddOrUpdatePasspointConfiguration"	"7.4.2.4"	""	""
""	""	"CtsWifiTestCases"	"7.4.2.4/C-1-9"	""	""	""	"Test Available"	""	"android.net.wifi.passpoint.cts.PasspointConfigurationTest"	"7.4.2.4  . Wi"	"C-1-9"	"testSetGetDecoratedIdentityPrefix"	"7.4.2.4"	""	""
""	"section"	"CtsCameraApi31TestCases"	"7.5/H-1-7"	""	""	""	""	""	"android.camera.cts.api31test.SPerfClassTest"	"2.2.7.2  . Camera"	"H-1-7"	"testSPerfClassJpegSizes"	"7.5"	""	""
""	"section"	"CtsCameraTestCases"	"7.5/H-1-6"	""	""	""	""	""	"android.hardware.camera2.cts.PerformanceTest"	"2.2.7.2  . Camera"	"H-1-6"	"testCameraLaunch"	"7.5"	""	""
""	"section"	"CtsCameraTestCases"	"7.5/H-1-5"	""	""	""	"Test Available"	""	"android.hardware.camera2.cts.PerformanceTest"	"2.2.7.2  . Camera"	"H-1-5"	"testReprocessingLatency"	"7.5"	""	""
""	"section"	"CtsCameraTestCases"	"7.5/H-1-4"	""	""	""	"Test Available"	""	"android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest"	"2.2.7.2  . Camera"	"H-1-4"	"testCameraPerfClassCharacteristics"	"7.5"	""	""
""	"section"	"CtsCameraTestCases"	"7.5/H-1-3"	""	""	""	""	""	"android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest"	"2.2.7.2  . Camera"	"H-1-3"	"testCameraPerfClassCharacteristics"	"7.5"	""	""
""	"section"	"CtsCameraTestCases"	"7.5/H-1-2"	""	""	""	""	""	"android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest"	"2.2.7.2  . Camera"	"H-1-2"	"testCameraPerfClassCharacteristics"	"7.5"	""	""
""	""	"CtsCameraTestCases"	"7.5/H-1-1"	""	""	""	""	""	"android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest"	"2.2.7.2  . Camera"	"H-1-1"	"testCameraPerfClassCharacteristics"	"7.5"	""	""
""	""	"CtsDevicePolicyManagerTestCases"	"7.4.3/C-6-2"	""	""	""	""	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"7.4.3  . Bluetooth"	"C-6-2"	"testBluetoothRestriction"	"7.4.3"	""	""
""	""	"CtsFileSystemTestCases"	"8.2/H-2-3"	""	""	""	""	""	"android.filesystem.cts.SequentialRWTest"	"2.2.7.4  . Performance"	"H-2-3"	"testSingleSequentialWrite"	"8.2"	""	""
""	""	"CtsFileSystemTestCases"	"8.2/H-2-4"	""	""	""	""	""	"android.filesystem.cts.RandomRWTest"	"2.2.7.4  . Performance"	"H-2-4"	"testRandomRead"	"8.2"	""	""
""	""	"CtsFileSystemTestCases"	"8.2/H-2-2"	""	""	""	""	""	"android.filesystem.cts.RandomRWTest"	"2.2.7.4  . Performance"	"H-2-2"	"testRandomUpdate"	"8.2"	""	""
""	""	"CtsFileSystemTestCases"	"8.2/H-2-1"	""	""	""	""	""	"android.filesystem.cts.SequentialRWTest"	"2.2.7.4  . Performance"	"H-2-1"	"testSingleSequentialWrite"	"8.2"	""	""
""	""	"CtsFileSystemTestCases"	"8.2/H-1-1"	""	""	""	""	""	"android.filesystem.cts.SequentialRWTest"	"2.2.7.4  . Performance"	"H-1-1"	"testSingleSequentialWrite"	"8.2"	""	""
""	""	"CtsFileSystemTestCases"	"8.2/H-1-2"	""	""	""	""	""	"android.filesystem.cts.RandomRWTest"	"2.2.7.4  . Performance"	"H-1-2"	"testRandomUpdate"	"8.2"	""	""
""	""	"CtsFileSystemTestCases"	"8.2/H-1-3"	""	""	""	""	""	"android.filesystem.cts.SequentialRWTest"	"2.2.7.4  . Performance"	"H-1-3"	"testSingleSequentialRead"	"8.2"	""	""
""	""	"CtsFileSystemTestCases"	"8.2/H-1-4"	""	""	""	""	""	"android.filesystem.cts.RandomRWTest"	"2.2.7.4  . Performance"	"H-1-4"	"testRandomRead"	"8.2"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-6"	""	""	""	""	""	"android.voiceinteraction.cts.HotwordDetectedResultTest"	"2.2.5  . Security Model"	"H-1-6"	"testHotwordDetectedResult_totalSize"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-5"	""	""	"The test involve multiple files so can not be represented: android.voiceinteraction.service.MainHotwordDetectionService"	"Test Available, can't be mapped because involves two different classes."	""	"android.voiceinteraction.cts.VoiceInteractionTest"	"2.2.5  . Security Model"	"H-1-5"	"testAll"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-4"	""	""	""	""	""	"android.voiceinteraction.cts.HotwordDetectedResultTest"	"2.2.5  . Security Model"	"H-1-4"	"testHotwordDetectedResult_setInvalidHotwordOffsetMillis"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-3"	""	""	""	""	""	"android.voiceinteraction.cts.HotwordDetectedResultTest"	"2.2.5  . Security Model"	"H-1-3"	"testHotwordDetectedResult_setInvalidHotwordDurationMillis"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-1"	""	""	""	""	""	"android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest"	"2.2.5  . Security Model"	"H-1-1"	"testHotwordDetectionService_onDetect_fromExternalSource"	"9.8"	""	""
