Section,section_id,req_id,Test Availability,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
,3.12,T-0-1,Test Available,Test Available,,,,android.media.tv.cts.*,android.media.tv.cts.*,CtsTvTestCases,,,,,,,Framework(TIF),Framework,1,,,,,
3.13 Quick Settings,3.13,C-1-1,Test Available,Test Available,,,,android.host.systemui.TileServiceTest,"testAddTile()
testRemoveTile()",CtsSystemUiTestCases,,,,,,,System UI,System UI,2,,,,,
,3.13,C-1-2,Test Available,Test Available,,,,com.android.cts.verifier.qstiles.TileServiceVerifierActivity,com.android.cts.verifier.qstiles.TileServiceVerifierActivity,CtsVerifierQuickSettingsTestCases,,,,,,,System UI,System UI,2,,,,,
,3.13,C-1-3,Test Available,Test Available,,,,com.android.cts.verifier.qstiles.TileServiceVerifierActivity,com.android.cts.verifier.qstiles.TileServiceVerifierActivity,CtsVerifierQuickSettingsTestCases,,,,,,,System UI,System UI,2,,,,,
,3.14,A-0-1,Test Available,Manually Testable Missing Test,,,,,,,,,,,,,Framework (UI),Framework,-1,,,,,
,3.14,A-0-2,Manually Testable Missing Test,Not testable,,,,,,,,,New in Q,,123357837,8085986,Framework(UI),Framework,-1,,,,,
,3.14,A-0-3,Not testable,Not testable,,,,,,,,,New in Q,140768703,123357837,8085986,Framework(UI),Framework,0,,,,,
,3.14,A-0-4,Not testable,Manually Testable Missing Test,,,,,,,,,New in Q,140768703,123357837,8085986,Framework(UI),Framework,0.2,,,,,
,3.14,A-0-5,Manually Testable Missing Test,Manually Testable Missing Test,,,,,,,,,New in Q,140768703,123357837,8085986,Framework(UI),Framework,0.2,,,,,
,3.14,A-0-6,Manually Testable Missing Test,Manually Testable Missing Test,,,,,,,,,New in Q,140768703,123357837,8085986,Framework(UI),Framework,0.2,,,,,
,3.14,A-0-7,Manually Testable Missing Test,Not testable,,,,,,,,,New in Q,140768703,123357837,8085986,Framework(UI),Framework,0,,,,,
,3.14,A-1-1,Not testable,Not testable,,,,,,,,,New in Q,140768703,123357837,8085986,System UI,System UI,0,,,,,
3.14.Media UI,3.14,C-1-2,Not testable,Not testable,,,,,,,,,Updated in Q,139747109,123357837,7429581,Framework (UI),Framework,-1,,,,,
,3.14,C-1-3,Not testable,Not testable,,,,,,,,,Updated in Q,139747109,123357837,7429581,Framework (UI),Framework,-1,,,,,
,3.14,C-1-4,Not testable,Not testable,,,,,,,,,Updated in Q,139747109,123357837,7429581,Framework (UI),Framework,-1,,,,,
,3.14,C-1-5,Not testable,Test Available,,,,android.media.cts.MediaSessionTest,testCallbackOnMediaButtonEvent,CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
3.15 Instant Apps,3.15,C-0-1,Test Available,Test Available,,,,android.appsecurity.cts.EphemeralTest,"testInstallPermissionNotGranted()
testInstallPermissionGranted()",CtsAppSecurityHostTestCases,,,,,,,Framework(Instant Apps),Framework,2,,,,,
,3.15,C-0-2,Test Available,Test Available,,,,android.appsecurity.cts.EphemeralTest,"testNormalQuery()
testNormalStartNormal()
testNormalStartEphemeral()
testEphemeralQuery()
testEphemeralStartNormal()
testEphemeralStartExposed0*",CtsAppSecurityHostTestCases,,,,,,,Framework(Instant Apps),Framework,2,,,,,
,3.15,C-0-3,Test Available,Test Available,,,,android.appsecurity.cts.EphemeralTest,"testNormalQuery()
testNormalStartNormal()
testNormalStartEphemeral()
testEphemeralQuery()
testEphemeralStartNormal()
testExposedSystemActivities()
testEphemeralStartExposed0*",CtsAppSecurityHostTestCases,,,,,,,Framework(Instant Apps),Framework,2,,,,,
,3.15,C-0-4,Test Available,Test Available,,,,android.appsecurity.cts.EphemeralTest,testPackageInfo(),CtsAppSecurityHostTestCases,,,,,,,Framework(Instant Apps),Framework,2,,,,,
,3.15,C-0-5,Test Available,Test Available,,,,com.android.cts.verifier.instantapps.AppInfoTestActivity,com.android.cts.verifier.instantapps.AppInfoTestActivity,CtsVerifierInstantApps,,,New in Q,128338329,125919647,7527638,Framework(Instant Apps),Framework,2,,,,,
,3.15,C-0-6,Test Available,Test Available,,,,com.android.cts.verifier.instantapps.NotificationTestActivity,com.android.cts.verifier.instantapps.NotificationTestActivity,CtsVerifierInstantApps,,,New in Q,128338329,125919647,7527638,Framework(Instant Apps),Framework,2,,,,,
,3.15,C-0-7,Test Available,Test Available,,,,com.android.cts.verifier.instantapps.RecentAppsTestActivity,com.android.cts.verifier.instantapps.RecentAppsTestActivity,CtsVerifierInstantApps,,,New in Q,128338329,125919647,7527638,Framework(Instant Apps),Framework,2,,,,,
,3.15,C-1-1,Test Available,,,,,,,,,,,,,,,,,,,,,
