Section,section_id,req_id,Test Availability,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
,3.8.14,C-3-5,Test Available,Not testable,,,,,,,,,,,,,Framework(Activity/Window Manager),Framework,-1,,,,,
,3.8.14,C-3-6,Not testable,Test Missing,,,,,,,,,,131847802,,,Framework(Activity/Window Manager),Framework,0,,,,,
,3.8.15,C-1-2,Test Missing,Test Available,,,,android.server.wm.DisplayCutoutTests,android.server.wm.DisplayCutoutTests.*,CtsDisplayTestCases,,,,,,,Framework(Activity/Window Manager),Framework,2,,,,,
,3.8.15,C-1-3,Test Available,Test Available,,,,android.server.wm.DisplayCutoutTests,android.server.wm.DisplayCutoutTests.*,CtsDisplayTestCases,,,,,,,Framework(Activity/Window Manager),Framework,2,,,,,
,3.8.15,C-1-4,Test Available,Test Available,,,,android.server.wm.DisplayCutoutTests,android.server.wm.DisplayCutoutTests.*,CtsDisplayTestCases,,,,,,,Framework(Activity/Window Manager),Framework,2,,,,,
3.8.15 Display Cutout,3.8.15,C-1-5,,,,,,,,,,,,,,,,,,,,,,
,3.8.16,H-1-1,,,,Yes,,"[('android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest', 1)]",,"[('CtsCameraTestCases', 1)]",,,,,,,,,,,,,,
,3.8.16,H-1-2,,,,Yes,,"[('android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest', 1)]",,"[('CtsCameraTestCases', 1)]",,,,,,,,,,,,,,
,3.8.16,H-1-3,,,,Yes,,"[('android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest', 1)]",,"[('CtsCameraTestCases', 1)]",,,,,,,,,,,,,,
,3.8.16,H-1-4,,,,Yes,,"[('android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest', 1)]",,"[('CtsCameraTestCases', 1)]",,,,,,,,,,,,,,
,3.8.16,H-2-1,,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-2-2,,,,Yes,,,,,,,,,,,,,,,,,,
3.8.2 Widgets,3.8.2,C-1-1,Test Available,Test Available,,,,android.appwidget.cts.*,public void .*,CtsAppWidgetTestCases,,,,,,,Launcher,Launcher,2,,,,,
,3.8.2,C-1-2,,Test Available,,,,com.android.cts.verifier.widget.WidgetTestActivity,com.android.cts.verifier.widget.WidgetTestActivity.*,CtsVerifierWidgetTest,,,,,,,Launcher,Launcher,2,,,,,
,3.8.2,C-1-3,Test Available,Test Available,,,,com.android.cts.verifier.widget.WidgetTestActivity,com.android.cts.verifier.widget.WidgetTestActivity.*,CtsVerifierWidgetTest,,,,,,,Launcher,Launcher,2,,,,,
,3.8.2,C-2-1,Test Available,Test Available,,,,android.appwidget.cts.RequestPinAppWidgetTest,verifyIsRequestPinAppWidgetSupported,CtsAppWidgetTestCases,,,,,,,Launcher,Launcher,2,,,,,
,3.8.2,C-2-2,Test Available,Test Available,,,,android.appwidget.cts.RequestPinAppWidgetTest,"testPinWidget_launcher1()
testPinWidget_launcher2()",CtsAppWidgetTestCases,,,,,,,Launcher,Launcher,2,,,,,
,3.8.3,A-0-1,Test Available,Manually Testable Missing Test,,,,,,,Notification.CarExtender APIs are tested.,,,77152494,,,System UI,System UI,0.2,,,,,
,3.8.3,H-0-1,Manually Testable Missing Test,Test Available,,,,android.app.cts.NotificationManagerTest,testNotify(),CtsAppTestCases,,,,,,,System UI,System UI,2,,,,,
,3.8.3,H-0-2,Test Available,Test Available,,,,android.app.cts.NotificationManagerTest,testMediaStyle(),CtsAppTestCases,,,,,,,System UI,System UI,2,,,,,
,3.8.3,H-0-3,Test Available,Not testable,,,,,,,,,,137375441,,,System UI,System UI,0,,,,,
,3.8.3,H-0-4,Not testable,Manually Testable Missing Test,,,,,,,Requires manual UI validation,,,,,,System UI,System UI,0.2,,,,,
,3.8.3,H-0-5,Manually Testable Missing Test,Test Available,,,,android.app.cts.RemoteInputTest,testRemoteInputBuilder_setChoicesOnly,CtsAppTestCases,"This is testing the setChoicesApi and not if its
displayed",,,,,,System UI,System UI,1,,,,,
,3.8.3.1,A-0-1,Test Available,Manually Testable Missing Test,,,,,,,,,New in Q,140768703,123357837,8085986,System UI,System UI,0.2,,,,,
,3.8.3.1,A-0-2,Manually Testable Missing Test,Manually Testable Missing Test,,,,,,,,,New in Q,140768703,123357837,8085986,System UI,System UI,0.2,,,,,
3.8.3. Notifications,3.8.3.1,C-1-1,Test Available,Test Available,,,,android.app.cts.NotificationChannelTest,public void.*,CtsAppTestCases,,,,,,,System UI,System UI,1,,,,,
,3.8.3.1,C-1-2,Manually Testable Missing Test,Test Missing,,,,,,,,,,137375441,,,System UI,System UI,-1,,,,,
,3.8.3.1,C-1-3,Test Missing,Test Available,,,,"android.app.cts.NotificationManagerTest
android.app.cts.NotificationChannelTest
android.app.cts.NotificationTest",public void .*,CtsAppTestCases,,,,,,,System UI,System UI,2,,,,,
,3.8.3.1,C-1-4,Test Available,Test Available,,,,"android.app.cts.NotificationManagerTest
android.app.cts.NotificationChannelTest
android.app.cts.NotificationTest",public void.*,CtsAppTestCases,,,,,,,System UI,System UI,1,,,,,
,3.8.3.1,C-1-5,Test Available,Not testable,,,,,,,Requires  validation of UI elements in sysUI,,,123031181,,,System UI,System UI,-1,,,,,
,3.8.3.1,C-1-6,Not testable,Manually Testable Missing Test,,,,,,,System UI Modifiable by OEMS.,,,123031181,,,System UI,System UI,0.2,,,,,
,3.8.3.1,C-2-1,Manually Testable Missing Test,Test Available,,,,android.app.cts.NotificationTest,testMessagingStyle_historicMessage,CtsAppTestCases,,,,,,,System UI,System UI,1,,,,,
,3.8.3.1,C-3-1,Test Available,Manually Testable Missing Test,,,,,,,"The API is tested.CTS-V test required to verify the requirement
as stated",,,137375441,,,System UI,System UI,0.2,,,,,
,3.8.3.1,C-3-2,Manually Testable Missing Test,Not testable,,,,,,,The API is tested in NotificationManagerTests,,,,,,System UI,System UI,-1,,,,,
3.8.3.2 Notification Listener Service,3.8.3.2,C-0-1,Test Available,Test Available,,,,com.android.cts.verifier.notifications.NotificationListenerService,com.android.cts.verifier.notifications.NotificationListenerService.*,CTSVerifierNotification,,,,,,,System UI,System UI,2,,,,,
,3.8.3.2,C-0-2,Not testable,Test Available,,,,com.android.cts.verifier.notifications.NotificationListenerService,com.android.cts.verifier.notifications.NotificationListenerService.*,CTSVerifierNotification,Closest test,,,,,,System UI,System UI,1,,,,,
,3.8.3.2,C-1-1,Test Available,Test Available,,,,com.android.cts.verifier.notifications.NotificationListenerService,com.android.cts.verifier.notifications.NotificationListenerService.*,CTSVerifierNotification,,,,,,,System UI,System UI,2,,,,,
,3.8.3.2,C-1-2,Test Available,Not testable,,,,,,,Requires Manual Validation of UI elements in sysUI,,,,,,System UI,System UI,-1,,,,,
3.8.3.3 DND(Do Not Disturb),3.8.3.3,C-1-1,Test Available,Test Available,,,,android.systemintents.ctsTestSystemIntents,testSystemIntents(),CtsSystemIntentTestCases,,,,,,,System UI,System UI,1,,,,,
,3.8.3.3,C-1-3,Not testable,Test Missing,,,,,,,Punted to R,,,132272452,,,System UI,System UI,0,,,,,
,3.8.4,A-1-1,Test Missing,Not testable,,,,,,,,,,,,,Framework (AI/Assistant/Speech),Framework,-1,,,,,
3.8.4 Search,3.8.4,C-1-1,Test Available,Test Available,,,,android.app.cts.SearchManagerTest,public void.*,CtsAppTestCases,,,,,,,Framework(API compatibility),Framework,1,,,,,
,3.8.4,C-2-1,Not testable,Not testable,,,,,,,,,,,,,Framework(API compatibility),Framework,-1,,,,,
,3.8.4,C-2-2,Not testable,Not testable,,,,,,,,,,,,,Framework (AI/Assistant/Speech),Framework,-1,,,,,
,3.8.4,H-1-1,Not testable,,,,,,,,,,,,,,,,,,,,,
3.8.5 Alerts and Toasts,3.8.5,C-1-1,Manually Testable Missing Test,Manually Testable Missing Test,,,,,,,,,,,,,Framework (AI/Assistant/Speech),Framework,0.2,,,,,
,3.8.5,C-1-2,Not testable,Test Available,,,,android.widget.toast.cts.LegacyToastTest,"testAddTwoToastViaTestApisWhenUidFocused
testAddSingleToastViaAddingWindowApisWhenUidFocused",CtsToasTestCases,,,,,,,System UI,System UI,2,,,,,
3.8.6 Themes,3.8.6,C-1-1,Test Available,Test Available,,,,android.theme.cts.ThemeHostTest,testThemes(),CtsThemeHostTestCases,,,,,,,System UI,System UI,2,,,,,
,3.8.6,C-1-2,,Test Available,,,,android.theme.cts.ThemeHostTest,testThemes(),CtsThemeHostTestCases,,,,,,,System UI,System UI,2,,,,,
,3.8.6,C-1-3,Test Available,,,,,,,,,,,,,,,,,,,,,
,3.8.6,C-2-1,Test Available,Test Available,,,,android.systemui.cts.LightBarTests,testLightStatusBarIcons(),CtsSystemUiTestCases,,,,,,,System UI,System UI,2,,,,,
,3.8.6,C-2-2,,Test Available,,,,android.systemui.ctsLIghtBarTests,testLightStatusBarIcons(),CtsSystemUiTestCases,,,,,,,System UI,System UI,2,,,,,
Live Wallpapers,3.8.7,C-1-1,Test Available,Test Available,,,,android.app.cts.SystemFeaturesTest,testLiveWallpaperFeature,CtsAppTestCases,,,,,,,Framework(API compatibility),Framework,2,,,,,
3.8.8 Activity Switching,3.8.8,C-1-1,Other (see comment),Other (see comment),,,,,,,Looks like the CDD needs to be changed See bug,,,,140637032,,System UI,System UI,-1,,,,,
,3.8.8,C-1-2,Test Available,Test Available,,,,"com.android.cts.verifier.screenpinning.
ScreenPinningTestActivity","com.android.cts.verifier.screenpinning.
ScreenPinningTestActivity.*",CtsVerifierScreenPinning,,,,,,,Framework(Settings UI),Framework,1,,,,,
3.8.9.Input Management,3.8.9,C-1-1,Test Available,Test Available,,,,"android.inputmethodservice.cts.hostside.
InputMethodServiceLifecycleTest","android.inputmethodservice.cts.hostside.
InputMethodServiceLifecycleTest.*",CtsInputMethodServiceHostTestCases,,,,,,,Framework (Input),Framework,2,,,,,
,3.8.9,C-1-2,Test Available,Test Available,,,,android.systemintent.cts.TestSystemIntents,testSystemIntents,CtsSystemIntentTestCases,,,,,,,Framework (Input),Framework,1,,,,,
,3.8.9,C-2-1,Test Available,Test Available,,,,android.content.cts.AvailableIntentsTest,testRequestSetAutofillServiceIntent,CtsContentTestCases,,,,,,,Framework(Settings UI),Framework,2,,,,,
,3.9,H-1-1,Test Available,Test Available,,,,"com.android.cts.verifier.managedprovisoning
com.android.cts.deviceowner
com.android.cts.devicepolicy","com.android.cts.verifier.managedprovisoning.*
com.android.cts.deviceowner.*
com.android.cts.devicepolicy.*",CtsDevicePolicyManagerTestCases,,,,,,,Enterprise,Enterprise,1,,,,,
,3.9,H-1-2,Test Available,Test Available,,,,android.content.pm.cts.FeatureTest,testManagedProfileSupport,CtsContentTestCases,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.1.1,C-1-2,Test Available,Not testable,,,,,,,,,,,,,Enterprise,Enterprise,-1,,,,,
3.9.1.1 Device Owner Provisioning,3.9.1.1,C-1-3,Not testable,Not testable,,,,,,,,,,,,,Framework(Activity/Window Manager),Framework,-1,,,,,
,3.9.1.1,C-1-4,Test Available,Test Available,,,,com.android.cts.deviceowner.DeviceOwnerProvisioningTest,testProvisionDeviceOwner(),CtsDevicePolicyManagerTestCases,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.1.1,C-1-5,Not testable,Not testable,,,,,,,,,,80425698,,,Enterprise,Enterprise,-1,,,,,
,3.9.1.1,C-1-6,Test Available,Test Available,,,,com.android.cts.managedprofile.PreManagedProfileTest,testIsProvisioningAllowedFalse(),CtsDevicePolicyManagerTestCases,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.1.1,C-1-7,Not testable,Test Available,,,,com.android.cts.devicepolicy.CustomDeviceOwnerTest,testCannotSetDeviceOwnerWhenAccountPresent,CtsDevicePolicyManagerTestCases,,,,,,,Enterprise,Enterprise,1,,,,,
,3.9.1.1,C-2-1,Test Available,Not testable,,,,,,,,,,,,,Enterprise,Enterprise,-1,,,,,
,3.9.1.1,C-2-2,Test Available,Manually Testable Missing Test,,,,,,,,,,,,,Enterprise,Enterprise,0.2,,,,,
3.9.1.2 Managed Profile Provisioning,3.9.1.2,C-1-1,Test Available,Test Available,,,,com.android.cts.verifier.managedprovisioning.*,com.android.cts.verifier.managedprovisioning.*.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.1.2,C-1-2,Not testable,Test Available,,,,com.android.cts.verifier.managedprovisioning,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,1,,,,,
,3.9.1.2,C-1-3,Manually Testable Missing Test,Test Available,,,,com.android.cts.verifier.managedprovisioning,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.11,C-1-3,Test Available,,,Yes,,,,,,,,,,,,,,,,,,
3.9.2 Managed Profile Support,3.9.2,C-1-1,Test Available,Test Available,,,,com.android.cts.verifier.managedprovisioning.,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.2,C-1-2,Test Available,Test Available,,,,com.android.cts.verifier.managedprovisioning.,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.2,C-1-3,,Test Available,,,,com.android.cts.verifier.managedprovisioning.,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.2,C-1-4,Test Available,Test Available,,,,com.android.cts.verifier.managedprovisioning.,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.2,C-1-5,Test Available,Test Available,,,,com.android.cts.verifier.managedprovisioning.,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.2,C-1-6,Test Available,Test Available,,,,com.android.cts.verifier.managedprovisioning.,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,2,,,,,
,3.9.2,C-1-7,Test Available,Test Available,,,,com.android.cts.devicepolicy.ManagedProfileTest,runManagedContactsTest(),CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,1,,,,,
,3.9.2,C-1-8,Test Available,Test Available,,,,com.android.cts.verifier.managedprovisioning.,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,1,,,,,
,3.9.2,C-1-9,Test Available,Test Available,,,,com.android.cts.verifier.managedprovisioning.,com.android.cts.verifier.managedprovisioning.*,CtsVerifierManagedProvisioning,,,,,,,Enterprise,Enterprise,1,,,,,
,3.9.2,C-2-1,,,,Yes,,"[('com.android.cts.devicepolicy.DeviceOwnerPlusProfileOwnerTest', 5), ('android.telephony.embms.cts.MbmsDownloadCallbackTest', 3), ('android.appwidget.cts.RequestPinAppWidgetTest', 1), ('com.android.cts.transferowner.TransferProfileOwnerOutgoingTest', 1), ('com.android.cts.transferowner.TransferDeviceOwnerOutgoingTest', 1), ('android.media.mediaparser.cts.MediaParserTest', 1), ('com.android.cts.managedprofile.ProvisioningTest', 1), ('com.android.cts.devicepolicy.DeviceAndProfileOwnerTestApi25', 1), ('android.net.ipsec.ike.cts.IkeSessionParamsTest', 1), ('com.android.cts.devicepolicy.DeviceAndProfileOwnerTest', 1)]","[('setUp', 7), ('tearDown', 4), ('getDevice', 4), ('obtain', 2), ('build', 1), ('getSimpleName', 1)]",,,,,,,,,,,,,,,
3.9.3 Managed User Support,3.9.3,C-1-1,Manually Testable Missing Test,Manually Testable Missing Test,,,,,,,"This cannot be automated since OEMs have
freedom to implement it whichever way. See this for
details. Reference:
:https://b.corp.google.com/issues/73800782#comment17
The correct behavior of the API is tested .isLogoutEnabled
in android.cts.deviceowner.UserSessionTest",,,,,,System UI,System UI,0.2,1 because the API is tested,,,,
,4,C-0-5,Test Available,Test Available,,,,android.packageinstaller.externalsources.ctsExternalSourcesTest,testManageUnknownSourcesExists,CtsExternalSourcesTestCases,,,,,,,Security,Security,2,,,,,
,4,C-0-6,Test Available,Test Available,,,,android.packageinstaller.externalsources.cts.ExternalSourcesTest,"blockedSourcesTest
allowedSourcesTest
defaultSourcesTest",CtsExternalSourcesTestCases,,,,,,,Security,Security,2,,,,,
,4,C-0-7,Manually Testable Missing Test,Test Available,,,,android.harmfulappwarning.cts.HarmfulAppWarningTest,"testNormalLaunch
testLaunchAnyway
testUninstall
testDismissDialog",CtsHarmfulAppWarningHostTestCases,,,,,,,Security,Security,2,,,,,
,4,C-0-8,,,,Yes,,,,,,,,,,,,,,,,,,
,4,C-0-9,,,,Yes,,"[('android.telephony4.cts.SimRestrictedApisTest', 19), ('android.appsecurity.cts.ExternalStorageHostTest', 18), ('android.permission.cts.PermissionFlagsTest', 15), ('android.gputools.cts.CtsRootlessGpuDebugHostTest', 12), ('com.android.cts.devicepolicy.ManagedProfileCrossProfileTest', 10), ('com.android.cts.rollback.host.RollbackManagerHostTest', 7), ('android.appsecurity.cts.InstantAppUserTest', 6), ('android.appsecurity.cts.InstantCookieHostTest', 6), ('android.classloaders.cts.UsesLibraryHostTest', 4), ('android.app.classloaderfactory.cts.AppComponentFactoryTest', 3), ('com.android.cts.devicepolicy.LauncherAppsMultiUserTest', 2), ('android.dynamicmime.testapp.update.SameGroupsTest', 2), ('android.cts.backup.RestoreAnyVersionHostSideTest', 2), ('android.cts.backup.BackupWakelockHostSideTest', 2), ('android.content.pm.cts.shortcuthost.ShortcutManagerUpgradeTest', 2), ('android.permission2.cts.PrivappPermissionsTest', 1), ('android.appsecurity.cts.StorageHostTest', 1), ('android.cts.backup.OtherSoundsSettingsHostSideTest', 1), ('android.security.cts.PackageInstallerTest', 1), ('com.android.cts.devicepolicy.DeviceAdminHostSideTestApi23', 1), ('com.android.cts.devicepolicy.AdbProvisioningTests', 1), ('com.android.cts.devicepolicy.ProfileOwnerTest', 1), ('android.print.cts.InstallBehavior', 1), ('com.android.cts.devicepolicy.ManagedProfileProvisioningTest', 1), ('android.view.animation.cts.AccelerateDecelerateInterpolatorTest', 1)]","[('getDevice', 29), ('setUp', 17), ('tearDown', 11), ('getBuild', 2), ('clearAppCookieData', 2), ('getContext', 2), ('getInstrumentation', 2), ('getUiAutomation', 2), ('getAbi', 1), ('cleanUp', 1), ('wipePrimaryExternalStorage', 1), ('getPrimaryUserId', 1), ('getCurrentUser', 1), ('reinstallPreM', 1), ('reinstallDoesNotOverrideChangesPreM', 1), ('reinstall', 1), ('reinstallDoesNotOverrideChanges', 1), ('preMPermsAreMarkedRevokeOnUpgrade', 1), ('revokeOnUpgrade', 1), ('trim', 1), ('getTime', 1), ('LogScanResult', 1), ('waitForIdle', 1), ('getPrimaryUser', 1), ('getPackage', 1), ('getName', 1), ('getSimpleName', 1), ('getClassLoader', 1), ('close', 1)]",,,,,,,,,,,,,,,
5 Multimedia Compatibility,5,C-0-1,Test Available,Test Available,,,,android.media.cts.*,android.media.cts.*,CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5,C-0-2,Test Available,Test Available,,,,android.media.cts.MediaCodecListTest,android.media.cts.MediaCodecListTest.*,CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
2.5.2 MultiMedia(Auto),5.1,A-0-1,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest
android.media.cts.EncoderTest","testFindDecoderWithAacProfile
testFindEncoderWithAacProfile
testDecodeAacLcM4a()
testAACEncoders",CtsMediaTestCases,,,Updated in Q,,124525623,8362016,Media,Media,2,,,,,
,5.1,A-0-2,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest
android.media.cts.EncoderTest","testFindDecoderWithAacProfile
testFindEncoderWithAacProfile
testDecodeHeAacM4a()
testAACEncoders",CtsMediaTestCases,,,Updated in Q,,124525623,8362016,Media,Media,2,,,,,
,5.1,A-0-3,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest
android.media.cts.EncoderTest","testFindDecoderWithAacProfile
testFindEncoderWithAacProfile
testDecodeAacEldM4a()
testAACEncoders",CtsMediaTestCases,,,Updated in Q,,124525623,8362016,Media,Media,2,,,,,
2.2.2 MultiMedia(HandHeld),5.1,H-0-1,Test Available,Test Available,,,,"android.media.cts.EncoderTest
android.media.cts.MediaCodecListTest","testAMRNBEncoders()
testRequiredMediaCodecList()",CtsMediaTestCases,"Filed bug requesting a test for decoding 
AMR-NB format",,Updated in Q,139770301,124525623,8362016,Media (Audio),Media,1,,,,,
,5.1,H-0-2,Test Available,Test Available,,,,"android.media.cts.EncoderTest
android.media.cts.MediaCodecListTest","testAMRWBEncoders()
testRequiredMediaCodecList()",CtsMediaTestCases,"Filed bug requesting a test for decoding 
AMR-WB format",,Updated in Q,139770301,124525623,8362016,Media (Audio),Media,1,,,,,
,5.1,H-0-3,Test Available,Test Available,,,,"android.media.cts.DecoderTest
android.media.cts.EncoderTest","testDecodeAacLcM4a()
testAACEncoders",CtsMediaTestCases,,,Updated in Q,,124525623,8362016,Media (Audio),Media,2,,,,,
,5.1,H-0-4,Test Available,Test Available,,,,"android.media.cts.DecoderTest
android.media.cts.EncoderTest","testDecodeHeAacM4a()
testAACEncoders()",CtsMediaTestCases,,,Updated in Q,,124525623,8362016,Media (Audio),Media,2,,,,,
,5.1,H-0-5,Test Available,Test Available,,,,"android.media.cts.DecoderTest
android.media.cts.EncoderTest","testDecodeAacEldM4a()
testAACEncoders()",CtsMediaTestCases,,,Updated in Q,,124525623,8362016,Media (Audio),Media,2,,,,,
2.3.2 MultiMedia (Television),5.1,T-0-1,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest
android.media.cts.EncoderTEst","testFindEncoderWithAacProfile
testFindDecoderWithAacProfile
testDeocdeAacLCM4a()
testAACEncoders",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1,T-0-2,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest
android.media.cts.EncoderTEst","testFindEncoderWithAacProfile
testFindDecoderWithAacProfile
testDecodeHeAacM4a()
testAACEncoders",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1,T-0-3,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest
android.media.cts.EncoderTEst","testFindEncoderWithAacProfile
testFindDecoderWithAacProfile
testDecodeAacEldM4a
testAACEncoders()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
5.1.1 Audio Encoding,5.1.1,C-1-1,Test Available,Test Available,,,,android.media.cts.DecoderTest,testDecodeWav,CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1.1,C-1-3,Test Available,Test Available,,,,android.media.cts.EncoderTest,testOpusEncoders,CtsMediaTestCases,,,New in Q,,124525623,8362016,Media,Media,2,,,,,
,5.1.1,C-3-1,Test Available,Test Available,,,,android.media.cts.MediaCodecTest,testPCMEncoding,CtsMediaTestCases,,,New in Q,,124525623,8362016,Media,Media,2,,,,,
,5.1.1,C-1-2,Test Available,Test Available,,,,android.media.cts.MediaCodecTest,testFlacIdentity(),CtsMediaTestCases,,,New in Q,,124525623,8362016,Media,Media,1,,,,,
5.1.10 Media Codec Characterization,5.1.10,C-1-1,Not testable,Not testable,,,,,,,,,New in Q,139021702,123950993,6412700,Media,Media,0,,,,,
,5.1.10,C-1-2,Test Available,Test Missing,,,,,,,,,New in Q,139021702,123950993,6412700,Media,Media,0,,,,,
,5.1.10,C-1-3,Test Available,Test Missing,,,,,,,,,New in Q,139021702,123950993,6412700,Media,Media,0,,,,,
,5.1.10,C-1-4,Test Available,Test Available,,,,android.media.cts.MediaCodecListTest,testCodecCharacterizations,CtsMediaTestCases,,,New in Q,,123950993,6412700,Media,Media,2,,,,,
,5.1.10,C-1-5,Test Missing,Test Available,,,,android.media.cts.MediaCodecListTest,testCodecCharacterizations,CtsMediaTestCases,,,New in Q,,123950993,6412700,Media,Media,2,,,,,
,5.1.10,C-1-6,Test Missing,Test Available,,,,android.media.cts.MediaCodecListTest,testCodecCharacterizations,CtsMediaTestCases,,,New in Q,,123950993,6412700,Media,Media,2,,,,,
,5.1.10,C-1-7,Test Available,Test Available,,,,android.media.cts.MediaCodecListTest,testCodecCharacterizations,CtsMediaTestCases,,,New in Q,,123950993,6412700,Media,Media,2,,,,,
,5.1.10,C-1-8,Test Available,Test Available,,,,android.media.cts.MediaCodecListTest,testMediaTypeInCodecNamesIsMeaningful,CtsMediaTestCases,,,New in Q,,123950993,6412700,Media,Media,2,,,,,
,5.1.10,C-2-1,Test Available,Test Available,,,,"android.video.cts.VideoEncoderDecoderTest
android.video.cts.VideoDecoderPerfTest",verifyAchievableFrameRates,CtsVideoTestCases,,,New in Q,,123950993,6412700,Media,Media,2,,,,,
,5.1.10,C-2-2,Test Available,Test Available,,,,android.media.cts.MediaCodecListTest,testAllHardwareAcceleratedVideoCodecsPublishPerformancePoints(),CtsMediaTestCases,,,New in Q,,123950993,6412700,Media,Media,2,,,,,
5.1.2 Audio Decoding,5.1.2,C-1-1,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testDecodeAacLcM4a()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1.2,C-1-10,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testDecodeOpus()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1.2,C-1-11,Test Available,Test Available,,,,android.media.cts.DecoderTestXheAac,"testDecodeUsacDrcEffectTypeM4a
testDecodeUsacStreamSwitchingM4a
testDecodeUsacSamplingRatesM4a",CtsMediaTestCases,,,,,,,Media (Audio),Media,2,,,,,
,5.1.2,C-1-2,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testDecodeHeAacM4a()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1.2,C-1-3,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testDecodeHeAacV2M4a()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1.2,C-1-4,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testDecodeAacEldM4a()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1.2,C-1-5,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testDecodeFlac()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1.2,C-1-6,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testDecodeMp3Lame()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
,5.1.2,C-1-7,Test Available,Not testable,,,,,,,,,,,,,Media,Media,-1,,,,,
,5.1.2,C-1-8,Test Available,Test Available,,,,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testDecodeVorbis()",CtsMediaTestCases,,,,,,,Media,Media,2,,,,,
