Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q';CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
,7.2.4,C-3-2,,,Yes,,,,,,,,,,,,,,"[('TOUCHSCREEN_NOTOUCH'; 3)]",,,,
,7.2.4,C-3-3,,,Yes,,,,,,,,,,,,,,"[('HID'; 64'; ('KEYCODE_BACK'; 22'; ('KEYCODE_HOME'; 15'; ('AXIS_X'; 3'; ('AXIS_Y'; 3'; ('C-2-1'; 1'; ('AXIS_RTRIGGER'; 1'; ('AXIS_Z'; 1'; ('AXIS_LTRIGGER'; 1'; ('AXIS_RZ'; 1'; ('KEYCODE_BUTTON_X'; 1'; ('KEYCODE_BUTTON_A'; 1'; ('KEYCODE_BUTTON_B'; 1'; ('KEYCODE_BUTTON_L1'; 1'; ('KEYCODE_BUTTON_THUMBL'; 1'; ('KEYCODE_BUTTON_R1'; 1'; ('KEYCODE_BUTTON_THUMBR'; 1'; ('KEYCODE_BUTTON_Y'; 1)]",,,,
,7.2.6.1,C-2-1,,,Yes,,,,,,,,,,,,,,"[('SystemClock.elapsedRealtimeNano'; 19'; ('getResolution()'; 4'; ('7.3'; 2)]",,,,
,7.3,C-1-6,,,Yes,,,,,,,,,,,,,,,,,,
,7.3,C-1-7,,,Yes,,,,,,,,,,,,,,,,,,
7.3.10 LockScreen and biometrics,7.3.10,C-4-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-4-2,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-4-3,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-5-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-5-2,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-6-1,,,Yes,,,,,,,,,,,,,,"[('PIN'; 38)]",,,,
,7.3.10,C-6-2,,,Yes,,,,,,,,,,,,,,"[('C-1-1'; 13)]",,,,
,7.3.10,C-3-4,,,Yes,,,,,,,,,,,,,,"[('C-1-2'; 3)]",,,,
7.3.13 Hinge Angle Sensor,7.3.13,C-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.13,C-1-2,,,Yes,,,,,,,,,,,,,,"[('C-2-1'; 1)]",,,,
,7.3.13,C-1-3,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.4,A-3-1,,,Yes,,,,,,,,,,,,,,"[('C-1-1'; 13)]",,,,
,7.3.4,A-3-2,,,Yes,,,,,,,,,,,,,,"[('C-1-2'; 3)]",,,,
,7.3.6,C-2-1,,,Yes,,,,,,,,,,,,,,"[('DNS'; 14)]",,,,
,7.4.5.2,C-4-1,,,Yes,,,,,,,,,,,,,,"[('DNS'; 14'; ('C-1-4'; 1)]",,,,
7.4.5.3. Captive Portals,7.4.5.3,C-1-1,,,Yes,,,,,,,,,,,,,,"[('connect()'; 16'; ('java.net.Socket'; 9)]",,,,
,7.4.5.3,C-1-2,,,Yes,,,,,,,,,,,,,,"[('UICC'; 14'; ('C-1-2'; 3)]",,,,
,7.4.5.3,C-1-3,,,Yes,,,,,,,,,,,,,,"[('android.hardware.camera'; 35'; ('android.hardware.Camera'; 12'; ('7.5.4'; 2)]",,,,
,7.4.5.3,C-1-4,,,Yes,,,,,,,,,,,,,,"[('9.1'; 12'; ('C-2-1'; 1'; ('ACTION_MANAGE_OVERLAY_PERMISSION'; 1)]",,,,
,7.4.5.3,C-1-5,,,Yes,,,,,,,,,,,,,,"[('9.10'; 12'; ('C-1-9'; 1)]",,,,
,7.4.8,C-1-2,,,Yes,,,,,,,,,,,,,,"[('9.10'; 12)]",,,,
,7.5.4,C-0-12,,,Yes,,,,,,,,,,,,,,"[('C-0-3'; 12'; ('9.10'; 12)]",,,,
,9.1,C-2-1,,,Yes,,,,,,,,,,,,,,"[('9.10'; 12)]",,,,
,9.10.,C-1-9,,,Yes,,,,,,,,,,,,,,"[('9.10'; 12)]",,,,
,9.10.,C-1-10,,,Yes,,,,,,,,,,,,,,"[('getInstance()'; 58'; ('C-0-1'; 1)]",,,,
